database,schema,table,row_count,total_mb,used_mb
EndeavorCentral,dbo,_All_Flights,48978,22.445312,22.421875
EndeavorCentral,dbo,_AllProducts,17791,11.007812,10.929687
EndeavorCentral,dbo,_AllTargets,17033,0.945312,0.890625
EndeavorCentral,dbo,__AllFeeds,8725,3.257812,3.039062
EndeavorCentral,dbo,_Active_Campaigns,7664,1.359375,1.328125
EndeavorCentral,dbo,_RAN_XML,3162,4.773437,4.398437
EndeavorCentral,dbo,Subscription_Flight_Date,2466,0.195312,0.179687
EndeavorCentral,dbo,_Advertiser_Alt_ID,488,0.195312,0.125000
EndeavorCentral,dbo,AdvertiserSalesChannel_Log,307,0.085937,0.031250
EndeavorCentral,dbo,charterview,279,0.132812,0.085937
EndeavorCentral,dbo,DBINFO,44,0.015625,0.015625
EndeavorCentral,dbo,BKUPSettings,1,0.070312,0.015625
EndeavorCentral,dbo,CommercialCustomer,0,0.007812,0.007812
EndeavorCentral,dbo,FactualInfo,0,0.007812,0.007812
EndeavorCentral,dbo,SalesBreakdown,0,0.007812,0.007812
EndeavorCentral,dbo,SalesMedia,0,0.007812,0.007812
Megatron,dbo,ListingImageDownload_ReDownload,298130232,45586.320312,45303.101562
Megatron,dbo,Shortener,109734790,112947.820312,112900.257812
Megatron,dbo,__AllAdEzCampaigns_Snapshot,31042630,13382.070312,13254.195312
Megatron,dbo,AccountPreference,13829804,263.812500,262.765625
Megatron,dbo,ListingVehicle,7815857,4055.703125,3594.687500
Megatron,dbo,Listing,7429072,32303.515625,31769.367187
Megatron,dbo,ListingExtras,7405592,397.257812,372.156250
Megatron,dbo,_IPB_Temp,5600409,178.632812,178.593750
Megatron,dbo,IPBlocks,4826113,161.703125,161.656250
Megatron,dbo,zzz_BannerZipCode,4761023,124.703125,124.679687
Megatron,dbo,ActivityLog,4716119,1878.828125,1877.640625
Megatron,dbo,obr_History_v4,4690854,985.554687,840.085937
Megatron,dbo,LiveListingRemoved,3034822,206.257812,203.570312
Megatron,dbo,PerformanceTargetAccounts_History,2663019,202.617187,199.539062
Megatron,dbo,SmartAdCheck,2561492,683.343750,662.593750
Megatron,dbo,MailQueue,2537772,6779.429687,6681.828125
Megatron,dbo,OLMQueue,2374117,134.367187,100.710937
Megatron,dbo,Account,2082770,511.390625,508.742187
Megatron,dbo,account_save,2075440,58.203125,57.937500
Megatron,dbo,AdCenterImpressions,1877483,87.445312,68.437500
Megatron,dbo,PowerListingCheck,1740161,250.570312,225.921875
Megatron,dbo,AccountNoHash,1721383,60.898437,60.835937
Megatron,dbo,zzz__AlertsNotes,1712091,240.281250,237.875000
Megatron,dbo,EmailExternalID,1633764,59.156250,57.789062
Megatron,dbo,AccountLogin,1489516,97.695312,85.085937
Megatron,dbo,zzz_UserAgents,1468160,61.257812,61.234375
Megatron,dbo,EmailScrubFinals,1281030,138.218750,136.937500
Megatron,dbo,_IPL_Temp,1016397,119.656250,119.617187
Megatron,dbo,EmailObjects,976257,2335.484375,2307.812500
Megatron,dbo,DXAccountToMEMBERS,967840,31.078125,31.031250
Megatron,dbo,_AllFlights_Performance,916407,75.125000,56.343750
Megatron,dbo,OLMLog,651684,40.804687,36.609375
Megatron,dbo,AccountPreferenceOptOut,594335,13.609375,13.117187
Megatron,dbo,WebCrawlerDeletes,588809,86.835937,65.117187
Megatron,dbo,IPLocation,559332,71.453125,71.390625
Megatron,dbo,AccountListingVerifyAllQueue,537948,19.656250,19.609375
Megatron,dbo,zzz_fbAutomotiveCatalog_data_v4_temp_timtest,521573,1840.156250,1839.898437
Megatron,dbo,zzz_DealerVault_ColumnInfo,464138,50.187500,48.335937
Megatron,dbo,BannerLogTotal,429328,12.703125,12.695312
Megatron,dbo,listing_pric_With_Max,387426,200.125000,159.273437
Megatron,dbo,Account_Login_History,382509,77.195312,57.898437
Megatron,dbo,obr_Flight_Info_V7_Flight,364444,102.312500,76.750000
Megatron,dbo,LeadQueueExtras,319379,21.437500,16.062500
Megatron,dbo,obr_NetworkPerformance_V10,305777,31.546875,29.414062
Megatron,dbo,SelfServeImage,302559,15.015625,15.000000
Megatron,dbo,AccountExtras,287363,16.492187,16.046875
Megatron,dbo,obr_NetworkPerformance_Totals_V10,281757,28.445312,26.562500
Megatron,dbo,BackupLog,278391,69.273437,68.539062
Megatron,dbo,zzz_CrawlerLog,276669,36.406250,30.296875
Megatron,dbo,zzz_SilverPop_Seller_Listing,276235,17.328125,17.273437
Megatron,dbo,obr_NetworkPerformance_V7,274869,31.757812,26.046875
Megatron,dbo,FileDetails_Log,269880,56.984375,42.695312
Megatron,dbo,obr_NetworkPerformance_Totals_V7,256974,37.070312,27.242187
Megatron,dbo,GeoDistance,219619,21.726562,21.687500
Megatron,dbo,LeadQueue,207367,264.929687,243.414062
Megatron,dbo,zzz_AccountSavedListing,207177,6.539062,6.476562
Megatron,dbo,EmailScrubRejects,187749,17.343750,16.187500
Megatron,dbo,zzz_RateRegionZip,170120,4.609375,4.578125
Megatron,dbo,zzz__AlertsMeta,169053,11.406250,11.328125
Megatron,dbo,__PROC_Log,162358,18.875000,17.164062
Megatron,dbo,SF_Accounts,131716,105.664062,32.023437
Megatron,dbo,zzz_BannerSubclass,109126,2.414062,2.390625
Megatron,dbo,fbAutomotiveCatalog_data_v3,108616,283.710937,283.601562
Megatron,dbo,fbAutomotiveCatalog_data_v3_temp,108616,1301.914062,688.554687
Megatron,dbo,PhyronVideos,106055,26.757812,26.429687
Megatron,dbo,WebCrawlerData_Temp,102289,19.382812,19.367187
Megatron,dbo,WebCrawlerData,102286,37.070312,22.812500
Megatron,dbo,_HiLo_Vehicle,100791,31.726562,31.695312
Megatron,dbo,_OutboundMaster,96240,401.515625,400.882812
Megatron,dbo,_OutboundMasterAutos,96240,457.953125,456.945312
Megatron,dbo,SmartAdListings,88980,5.820312,5.773437
Megatron,dbo,zzz_MostBlockedDomains,87124,8.578125,8.578125
Megatron,dbo,WCD,84794,14.710937,14.664062
Megatron,dbo,ListingExtension,83687,3.015625,3.007812
Megatron,dbo,obr_History,83144,14.062500,14.000000
Megatron,dbo,fbAutomotiveCatalog_data_v2,76466,1185.648437,551.085937
Megatron,dbo,fbAutomotiveCatalog_data,76179,133.257812,133.242187
Megatron,dbo,obr_VehiclePerformance_V10,75582,10.882812,10.531250
Megatron,dbo,zzz_VerticalResponseMasterList,73731,6.140625,6.140625
Megatron,dbo,obr_VehiclePerformance_V7,73295,18.445312,11.562500
Megatron,dbo,Listing_PRIC,71687,92.570312,46.640625
Megatron,dbo,AreaPrefix,69047,3.078125,3.031250
Megatron,dbo,CarQuery_Temp,68267,13.265625,13.250000
Megatron,dbo,Impersonation,65123,26.804687,20.039062
Megatron,dbo,fbAutomotiveCatalog_data_v4,60708,182.140625,182.007812
Megatron,dbo,fbAutomotiveCatalog_data_v4_temp,60708,970.843750,440.500000
Megatron,dbo,zzz_silverpop_buyer_account_restore,59699,4.507812,4.500000
Megatron,dbo,_AllFlights,48978,22.445312,22.414062
Megatron,dbo,zzz_DealerVault_SV,48076,143.648437,98.398437
Megatron,dbo,zzz_PlatformAuto_Delisted,46655,3.281250,3.234375
Megatron,dbo,CountyZCTA,44410,8.203125,8.187500
Megatron,dbo,zzz_Static_ZipCode2PubID,44014,1.515625,1.515625
Megatron,dbo,zzz_PlatformAuto_Delisted_v2,43690,2.265625,2.234375
Megatron,dbo,ZipCode,43198,246.703125,246.671875
Megatron,dbo,obr_DisplayGeoClicks_V10,41881,3.945312,3.585937
Megatron,dbo,obr_DisplayGeoClicks_V7,41881,4.531250,3.796875
Megatron,dbo,ADPCreatives,40164,16.968750,13.867187
Megatron,dbo,zzz_Receipt,37970,16.968750,16.953125
Megatron,dbo,zzz_strikezone_numbers,37615,1.125000,1.000000
Megatron,dbo,__AllAdEzCampaigns_NewCancel_PrepareTemp,37393,7.195312,7.148437
Megatron,dbo,SF_Leads,36469,29.695312,29.664062
Megatron,dbo,ZipCounty,32989,2.078125,2.023437
