database,schema,table,column,data_type
EndeavorCentral,dbo,__AllFeeds,End_Date,date
EndeavorCentral,dbo,__AllFeeds,Start_Date,date
EndeavorCentral,dbo,_Active_Campaigns,end_date,date
EndeavorCentral,dbo,_Active_Campaigns,start_date,date
EndeavorCentral,dbo,_Active_Campaigns,submit_date,datetime
EndeavorCentral,dbo,_All_Flights,flight_deactivation_date,date
EndeavorCentral,dbo,_All_Flights,flight_end_date,date
EndeavorCentral,dbo,_All_Flights,flight_start_date,date
EndeavorCentral,dbo,_All_Flights,modified_date,datetime
EndeavorCentral,dbo,_All_Flights,original_start_date,date
EndeavorCentral,dbo,_All_Flights,submit_date,datetime
EndeavorCentral,dbo,_AllProducts,End_Date,datetime2
EndeavorCentral,dbo,_AllProducts,Modified_Date,datetime2
EndeavorCentral,dbo,_AllProducts,Start_Date,datetime2
EndeavorCentral,dbo,_AllProducts,Submit_Date,datetime2
EndeavorCentral,dbo,_RAN_XML,End_Date,datetime2
EndeavorCentral,dbo,_RAN_XML,Modified_Date,datetime2
EndeavorCentral,dbo,_RAN_XML,Start_Date,datetime2
EndeavorCentral,dbo,_RAN_XML,Submit_Date,datetime2
EndeavorCentral,dbo,charterview,max_directories_date,datetime2
EndeavorCentral,dbo,charterview,max_display_date,datetime2
EndeavorCentral,dbo,charterview,max_leads_date,datetime2
EndeavorCentral,dbo,charterview,max_package_date,datetime2
EndeavorCentral,dbo,charterview,max_smartads_date,datetime2
EndeavorCentral,dbo,charterview,min_directories_date,datetime2
EndeavorCentral,dbo,charterview,min_display_date,datetime2
EndeavorCentral,dbo,charterview,min_leads_date,datetime2
EndeavorCentral,dbo,charterview,min_package_date,datetime2
EndeavorCentral,dbo,charterview,min_smartads_date,datetime2
EndeavorCentral,dbo,Subscription_Flight_Date,Action_Date,date
EndeavorCentral,dbo,Subscription_Flight_Date,End_Date,date
EndeavorCentral,dbo,Subscription_Flight_Date,Start_Date,date
Megatron,dbo,__AllAdEzCampaigns,End_Date,date
Megatron,dbo,__AllAdEzCampaigns,Modified_Date,datetime
Megatron,dbo,__AllAdEzCampaigns,Start_Date,date
Megatron,dbo,__AllAdEzCampaigns,Submit_Date,datetime
Megatron,dbo,__AllAdEzCampaigns_NewCancel_PrepareTemp,end_date,date
Megatron,dbo,__AllAdEzCampaigns_NewCancel_PrepareTemp,start_date,date
Megatron,dbo,__AllAdEzCampaigns_NewCancel_Temp,end_date,date
Megatron,dbo,__AllAdEzCampaigns_NewCancel_Temp,start_date,date
Megatron,dbo,__AllAdEzCampaigns_Snapshot,End_Date,date
Megatron,dbo,__AllAdEzCampaigns_Snapshot,Modified_Date,datetime
Megatron,dbo,__AllAdEzCampaigns_Snapshot,snp_date,datetime
Megatron,dbo,__AllAdEzCampaigns_Snapshot,Start_Date,date
Megatron,dbo,__AllAdEzCampaigns_Snapshot,Submit_Date,datetime
Megatron,dbo,_Accounts_from_Advantage,DateEnded_Formatted,date
Megatron,dbo,_Accounts_from_Advantage,DateStarted_Formatted,date
Megatron,dbo,_Accounts_from_All,DateEnded_Formatted,date
Megatron,dbo,_Accounts_from_All,DateStarted_Formatted,date
Megatron,dbo,_Accounts_from_Banners,DateEnded_Formatted,date
Megatron,dbo,_Accounts_from_Banners,DateStarted_Formatted,date
Megatron,dbo,_Accounts_from_Banners_On_RCY,DateEnded_Formatted,date
Megatron,dbo,_Accounts_from_Banners_On_RCY,DateStarted_Formatted,date
Megatron,dbo,_Accounts_from_Endeavor,DateEnded_Formatted,date
Megatron,dbo,_Accounts_from_Endeavor,DateStarted_Formatted,date
Megatron,dbo,_Accounts_from_Feeds,DateEnded_Formatted,date
Megatron,dbo,_Accounts_from_Feeds,DateStarted_Formatted,date
Megatron,dbo,_Accounts_from_Ratchet,DateEnded_Formatted,date
Megatron,dbo,_Accounts_from_Ratchet,DateStarted_Formatted,date
Megatron,dbo,_AllFlights,flight_deactivation_date,date
Megatron,dbo,_AllFlights,flight_end_date,date
Megatron,dbo,_AllFlights,flight_start_date,date
Megatron,dbo,_AllFlights,modified_date,datetime
Megatron,dbo,_AllFlights,original_start_date,date
Megatron,dbo,_AllFlights,submit_date,datetime
Megatron,dbo,_AllFlightsOverride,flight_deactivation_date,date
Megatron,dbo,_AllFlightsOverride,flight_end_date,date
Megatron,dbo,_AllFlightsOverride,flight_start_date,date
Megatron,dbo,_AllFlightsOverride,modified_date,datetime
Megatron,dbo,_AllFlightsOverride,original_start_date,date
Megatron,dbo,_AllFlightsOverride,submit_date,datetime
Megatron,dbo,_FolderContentKeeper,fckModified,datetime
Megatron,dbo,_FolderContentManager,fcmDate,datetime
Megatron,dbo,_OutboundMaster,llst_Created,datetime
Megatron,dbo,_OutboundMaster,llst_Modified,datetime
Megatron,dbo,_OutboundMasterAutos,llst_Created,datetime
Megatron,dbo,_OutboundMasterAutos,llst_Modified,datetime
Megatron,dbo,_OutboundMasterHomes,llst_Created,datetime
Megatron,dbo,_OutboundMasterHomes,llst_Modified,datetime
Megatron,dbo,_OutboundMasterJobs,llst_Created,datetime
Megatron,dbo,_OutboundMasterJobs,llst_Modified,datetime
Megatron,dbo,_OutboundMasterOther,llst_Created,datetime
Megatron,dbo,_OutboundMasterOther,llst_Modified,datetime
Megatron,dbo,_OverwriteDupeAccount_Log,Processed,datetime
Megatron,dbo,_OverwriteDupeAccount_Log_Account,acc_Created,datetime
Megatron,dbo,_OverwriteDupeAccount_Log_Account,acc_Modified,datetime
Megatron,dbo,_Pending_Feeds,acc_created,datetime
Megatron,dbo,_Pending_Feeds,acc_modified,datetime
Megatron,dbo,Account,acc_Created,datetime
Megatron,dbo,Account,acc_Modified,datetime
Megatron,dbo,Account_Created_LastUpload,lst_Created,datetime
Megatron,dbo,AccountAlerts,aal_Date,datetime
Megatron,dbo,AccountAlerts,aal_SentDate,datetime
Megatron,dbo,AccountCanvasImageOverlays,created_date,datetime
Megatron,dbo,AccountDupeRemoveLog,acc_Created,datetime
Megatron,dbo,AccountDupeRemoveLog,acc_Modified,datetime
Megatron,dbo,AccountImageOverlays,created_date,datetime
Megatron,dbo,AccountLeads,created,datetime
Megatron,dbo,AccountLogin,acl_Date,datetime
Megatron,dbo,AccountMaster,acm_Created,datetime
Megatron,dbo,AccountOverwrite,aco_Created,datetime
Megatron,dbo,AccountOverwrite,aco_Modified,datetime
Megatron,dbo,AccountPreferenceLog,action_date,datetime
Megatron,dbo,AccountPreferenceOptOut,optout_Date,smalldatetime
Megatron,dbo,AccountSecurityOptions_Log,sol_Modified,datetime
Megatron,dbo,AccountSummary,clp_created,date
Megatron,dbo,AccountVerifiedLog,avl_Date,datetime
Megatron,dbo,Active_Campaigns,end_date,date
Megatron,dbo,Active_Campaigns,start_date,date
Megatron,dbo,Active_Campaigns,submit_date,datetime
Megatron,dbo,ActivityLog,LastRequestStartTime,datetime2
Megatron,dbo,ActivityLog,LogDateTime,datetime2
Megatron,dbo,AdCenterImpressions,time,datetime
Megatron,dbo,adez_advertiser,acc_Created,datetime
Megatron,dbo,adez_advertiser,acc_Modified,datetime
Megatron,dbo,adez_advertiser,End_Date,date
Megatron,dbo,adez_advertiser,Start_Date,date
Megatron,dbo,AdEzMegatronMismatch,end_date,datetime2
Megatron,dbo,ADPActiveCampaign,rcd_EndDate,datetime
Megatron,dbo,ADPActiveCampaign,rcd_StartDate,datetime
Megatron,dbo,ADPCampaigns,endDate,datetime
Megatron,dbo,ADPCampaigns,startDate,datetime
Megatron,dbo,ADPCampaigns,submitDate,datetime
Megatron,dbo,ADPCampaigns,updated,datetime
Megatron,dbo,ADPCreatives,endDate,datetime
Megatron,dbo,ADPCreatives,startDate,datetime
Megatron,dbo,ADPFeeds,dateend,datetime
Megatron,dbo,ADPFeeds,dateentered,smalldatetime
Megatron,dbo,ADPFeeds,datesold,smalldatetime
Megatron,dbo,ADPFeeds,datestart,smalldatetime
Megatron,dbo,ADPLocal,rcl_Created,datetime
Megatron,dbo,ADPLocal,rcl_DateSold,datetime
Megatron,dbo,ADPLocal,rcl_EndDate,datetime
Megatron,dbo,ADPLocal,rcl_LiveDate,datetime
Megatron,dbo,ADPLocal,rcl_SentToCGDate,datetime
Megatron,dbo,ADPLocal,rcl_StartDate,datetime
Megatron,dbo,ADPLocal,updated,datetime
Megatron,dbo,ADPPackages,endDate,datetime
Megatron,dbo,ADPPackages,startDate,datetime
Megatron,dbo,Advertiser_Settings,updated,datetime
Megatron,dbo,AdvertiserChange,updated,datetime
Megatron,dbo,AgentEventContract,CreatedAt,datetime
Megatron,dbo,AgentEventContract,UpdatedAt,datetime
Megatron,dbo,AiAgent,CreatedAt,datetime
Megatron,dbo,AiAgent,UpdatedAt,datetime
Megatron,dbo,BackupLog,BackupFinishDate,datetime2
Megatron,dbo,BackupLog,BackupStartDate,datetime2
Megatron,dbo,BackupLog,LogDateTime,datetime2
Megatron,dbo,BADLEADS,ldq_created,datetime
Megatron,dbo,BadWords,lastmodified,smalldatetime
Megatron,dbo,Banner,ban_Created,datetime
Megatron,dbo,Banner,ban_Modified,datetime
Megatron,dbo,Banner,ban_StartDate,datetime
Megatron,dbo,Banner,ban_StopDate,datetime
Megatron,dbo,business_dedupe,x_end_date,date
Megatron,dbo,CampaignMetaData,Updated,datetime
Megatron,dbo,CarFax_ResultLog,cfr_Date,datetime
Megatron,dbo,CharterCustomerMissingDates_feeds,ncreated,date
Megatron,dbo,CharterView,n_directories_date,date
Megatron,dbo,CharterView,n_display_date,date
Megatron,dbo,CharterView,n_leads_date,date
Megatron,dbo,CharterView,n_package_date,date
Megatron,dbo,CharterView,n_smartads_date,date
Megatron,dbo,CharterView,x_directories_date,date
Megatron,dbo,CharterView,x_display_date,date
Megatron,dbo,CharterView,x_leads_date,date
Megatron,dbo,CharterView,x_package_date,date
Megatron,dbo,CharterView,x_smartads_date,date
Megatron,dbo,cl_Mapped,Inserted,datetime
Megatron,dbo,Client,created,datetime
Megatron,dbo,Client,modified,datetime
Megatron,dbo,ClientFeedSetting,end_date,date
Megatron,dbo,ClientFeedSetting,start_date,date
Megatron,dbo,ClientGroup,created,datetime
Megatron,dbo,ClientGroup,modified,datetime
Megatron,dbo,CoreLog,coreDate,datetime
Megatron,dbo,CraigslistAdvertisers,cla_PostDate,date
Megatron,dbo,CraigslistAdvertisers_BU,cla_PostDate,date
Megatron,dbo,CraigslistAdvertisers_BU2,cla_PostDate,date
Megatron,dbo,CraigslistAdvertisers_NewPostFix,cla_PostDate,date
Megatron,dbo,CraigslistEmail,clem_date_processed,datetime
Megatron,dbo,CraigslistEmail,clem_date_received,datetime
