database,schema,table,ts_column,row_count,total_mb,min_ts,max_ts,non_null_count,query_seconds
Megatron,dbo,ListingImageDownload_ReDownload,lid_created,298130232,45586.320312,2018-10-14 13:30:44.813000,2026-06-14 06:05:50.277000,298130232,31.04
RedDawn,dbo,ListingImageDownload_Queue_History,lid_Processed,147097980,16758.617187,,,0,12.94
Prime,dbo,grail_srpactions_daily,event_date,98884098,4801.828125,2019-01-01,2026-06-13,98884098,4.17
MegatronRepository,dbo,ListingRepository,lst_Created,73790475,53348.085937,2009-10-15 21:50:02.830000,2023-08-08 04:08:26.810000,73790475,36.17
Prime,dbo,DisplayGEO,disgeo_date,32038337,7753.078125,2017-01-01,2026-06-13,32038337,1.52
Megatron,dbo,__AllAdEzCampaigns_Snapshot,Modified_Date,31042630,13382.070312,2015-09-09 22:54:16,2024-11-18 09:11:01,31042630,9.63
RedDawn,dbo,SmartVDPClicks,event_date,23311052,8316.398437,2020-08-20 14:13:00.180000,2026-06-14 13:09:40.187000,23311063,6.01
WEB,dbo,FEEDEXTRAS,fxDateInStock,12149385,8536.367187,1900-01-01 00:00:00,2028-06-01 00:00:00,643222,7.05
RedDawn,dbo,FBCampaignDatav2,created_time,9276171,3274.210937,2019-06-12 04:29:16,2023-09-06 12:37:33,9276171,2.89
WEB,dbo,FEEDADS,faCREATED,8032284,47274.40625,2020-04-20 09:55:00,2026-06-14 10:32:00,8032284,28.11
MegatronRepository,dbo,LeadQueueRepository,ldq_Created,7892374,14637.835937,2009-10-16 16:23:18.363000,2023-09-27 10:42:31,7892374,1.09
Megatron,dbo,Listing,lst_Created,7429072,32303.515625,2009-12-07 17:25:05.843000,2026-06-14 07:35:20.787000,7429072,1.09
Prime,dbo,GclIdTracking,CreatedAt,7186030,7681.695312,2025-09-24 17:55:10.154861,2026-06-14 01:45:24.648015,7186030,5.26
Prime,dbo,GAAnalyticsData,CreatedDate,6388117,2340.601562,2026-03-05 03:34:00.606324,2026-05-27 21:42:48.030979,6388117,0.4
RedDawn,dbo,Crawler_Cleanup_Log,timestamp,5565341,179.585937,2022-09-28 10:15:19.070000,2026-06-14 10:32:55.133000,5565341,1.04
Megatron,dbo,ActivityLog,LogDateTime,4716119,1878.828125,2025-06-26 09:47:34.243333,2026-06-14 13:00:00.870000,4716119,1.39
Prime,dbo,Display,dis_Date,3918108,832.828125,2017-01-01,2026-06-13,3918108,1.0
Prime,dbo,VehicleSnapshot,insert_date,3788194,697.007812,2024-04-15 19:16:26.667000,2024-04-15 22:21:50.157000,3788194,0.37
Prime,dbo,VINtoURLMapping,created,3309379,899.070312,2023-08-31 19:46:04.573000,2023-11-06 21:27:03.070000,3309379,0.58
RedDawn,dbo,ListingImageDownload,lid_Created,2745022,807.085937,2022-11-04 19:36:05.637000,2026-06-14 06:15:04.117000,2745022,0.99
Megatron,dbo,OLMQueue,olm_Processed,2374117,134.367187,1973-05-30 00:00:00,2024-02-21 09:45:00,2057425,1.05
RedDawn,dbo,Crawler_Logs,eventtime,2275364,188.898437,2024-07-31 13:38:10.607000,2026-06-14 13:00:02.503000,2275364,0.99
