raw_db,raw_schema,raw_table,ops,n_files,sample_files
,,a,update=427,89,etl/Juicebox Reporting/sp_JuiceReporting_extract_Email_Contact_Attempts.sql | etl/Juicebox Reporting/sp_JuiceReporting_extract_analytics_driver_matchbacks.sql | etl/Juicebox Reporting/sp_JuiceReporting_transaction_summary_new.sql | etl/Juicebox Reporting/sp_insert_JuiceReporting_BlueSkyOverview.sql | etl/Juicebox Reporting/sp_insert_JuiceReporting_BlueSkyReccomendations.sql
,,source_crm_el_service,delete=1;update=2,1,etl/SSIS/CRM/sp_insert_prestaging_CRM_EL_Service_dev.sql
,,prestaging_crm_el_service_2,update=8,2,etl/SSIS/CRM/sp_insert_prestaging_CRM_EL_Service.sql | etl/SSIS/CRM/sp_insert_prestaging_CRM_EL_Service_dev.sql
,,crm_dms_recipient_matches,insert=2,2,etl/SSIS/CRM/sp_insert_CRM_DMS_Recipient_Matches.sql | etl/SSIS/DMS/sp_insert_CRM_DMS_Recipient_Matches.sql
,,source_crm_vs2_sales,update=5,1,etl/SSIS/CRM/sp_insert_prestaging_CRM_VS2_Sales_dev.sql
,,prestaging_crm_vs2_sales_2,update=2,2,etl/SSIS/CRM/sp_insert_prestaging_CRM_VS2_Sales.sql | etl/SSIS/CRM/sp_insert_prestaging_CRM_VS2_Sales_dev.sql
,,prestaging_crm_el_leads_daily_2,update=10,2,etl/SSIS/CRM/sp_insert_prestaging_CRM_EL_Leads_Daily.sql | etl/SSIS/CRM/sp_insert_prestaging_CRM_EL_Leads_Daily_dev.sql
,,source_crm_tk_leads,update=1,1,etl/SSIS/CRM/sp_insert_prestaging_CRM_TK_Leads_dev.sql
,,prestaging_crm_el_sales_2,update=8,2,etl/SSIS/CRM/sp_insert_prestaging_CRM_EL_Sales.sql | etl/SSIS/CRM/sp_insert_prestaging_CRM_EL_Sales_dev.sql
,,prestaging_crm_vs2_service_2,update=2,2,etl/SSIS/CRM/sp_insert_prestaging_CRM_VS2_Service.sql | etl/SSIS/CRM/sp_insert_prestaging_CRM_VS2_Service_dev.sql
,,source_crm_el_sales,delete=1;update=2,1,etl/SSIS/CRM/sp_insert_prestaging_CRM_EL_Sales_dev.sql
,,prestaging_crm_2,insert=2,2,etl/SSIS/CRM/sp_insert_staging_CRM.sql | etl/SSIS/CRM/sp_insert_staging_CRM_backup.sql
,,lookup_crm_emailaddress_key,merge=2,2,etl/SSIS/CRM/sp_insert_staging_CRM.sql | etl/SSIS/CRM/sp_insert_staging_CRM_backup.sql
,,source_crm_ol_leads,update=1,1,etl/SSIS/CRM/sp_insert_prestaging_CRM_OL_Leads_dev.sql
,,source_crm_ds_leads_daily,delete=1,1,etl/SSIS/CRM/sp_insert_prestaging_CRM_DS_Leads_Daily_dev.sql
,,source_crm_el_leads_daily,delete=1;update=2,1,etl/SSIS/CRM/sp_insert_prestaging_CRM_EL_Leads_Daily_dev.sql
,,source_crm_vs2_service,update=3,1,etl/SSIS/CRM/sp_insert_prestaging_CRM_VS2_Service_dev.sql
,,source_crm_rr_leads,delete=1;update=1,1,etl/SSIS/CRM/sp_insert_prestaging_CRM_RR_Leads_dev.sql
,,prestaging_crm_el_leads_2,update=6,1,etl/SSIS/CRM/sp_insert_prestaging_CRM_EL_Leads.sql
,,t,update=3,2,etl/Juicebox Reporting/sp_insert_JuiceReporting_BSR_equity.sql | etl/SSIS/CRM/sp_insert_staging_CRM_backup.sql
,,analytics_bluesky_recommendations,insert=1;update=1,1,etl/SSIS/BlueSky/sp_extract_Analytics_BlueSky_Recommendations.sql
edw_target,dbo,analytics_bluesky_recommendations,select_into=1,1,etl/SSIS/BlueSky/sp_extract_Analytics_BlueSky_Recommendations.sql
,,analytics_bluesky_willreceivemessaging,insert=2,2,etl/SSIS/BlueSky/sp_insert_Analytics_BlueSky_WillReceiveMessaging.sql | etl/SSIS/BlueSky/sp_insert_BlueSky_WillReceiveMessaging.sql
,,analytics_bluesky_contact,insert=1,1,etl/SSIS/BlueSky/sp_insert_Analytics_BlueSky_Contact.sql
,,analytics_bluesky_lifecycleposition,insert=1,1,etl/SSIS/BlueSky/sp_insert_Analytics_BlueSky_LifecyclePosition.sql
,,analytics_bluesky_streammessages,insert=1,1,etl/SSIS/BlueSky/sp_insert_Analytics_BlueSky_StreamMessages.sql
,,analytics_bluesky_productengagement,insert=2,1,etl/SSIS/BlueSky/sp_insert_Analytics_BlueSky_ProductEngagement.sql
,,analytics_bluesky_customervehicle,insert=1,1,etl/SSIS/BlueSky/sp_insert_Analytics_BlueSky_CustomerVehicle.sql
