date,rows
2018-01-01,86786
2018-01-02,30768
2018-01-03,15762
2018-01-04,24833
2018-01-05,27524
2018-01-06,22692
2018-01-07,27592
2018-01-08,9990
2018-01-09,22368
2018-01-10,27075
2018-01-11,22330
2018-01-12,24384
2018-01-13,23849
2018-01-14,26332
2018-01-15,42572
2018-01-16,21034
2018-01-17,18823
2018-01-18,21068
2018-01-19,19676
2018-01-20,15977
2018-01-21,11140
2018-01-22,25983
2018-01-23,19483
2018-01-24,30611
2018-01-25,22713
2018-01-26,19436
2018-01-27,20434
2018-01-28,21355
2018-01-29,8630
2018-01-30,14150
2018-01-31,19739
2018-02-01,118078
2018-02-02,34283
2018-02-03,46775
2018-02-04,13832
2018-02-05,36154
2018-02-06,22882
2018-02-07,31626
2018-02-08,24466
2018-02-09,27287
2018-02-10,23703
2018-02-11,30012
2018-02-12,10233
2018-02-13,22783
2018-02-14,23429
2018-02-15,21550
2018-02-16,20849
2018-02-17,22424
2018-02-18,25968
2018-02-19,13294
2018-02-20,21982
2018-02-21,17543
2018-02-22,21940
2018-02-23,20698
2018-02-24,10032
2018-02-25,26549
2018-02-26,9684
2018-02-27,45325
2018-02-28,21005
2018-03-01,123540
2018-03-02,36582
2018-03-03,29964
2018-03-04,29294
2018-03-05,8413
2018-03-06,24873
2018-03-07,19473
2018-03-08,19789
2018-03-09,21213
2018-03-10,21063
2018-03-11,23081
2018-03-12,42112
2018-03-13,19548
2018-03-14,15562
2018-03-15,18395
2018-03-16,28627
2018-03-17,18567
2018-03-18,29621
2018-03-19,8367
2018-03-20,12607
2018-03-21,18823
2018-03-22,16225
2018-03-23,15237
2018-03-24,15475
2018-03-25,35693
2018-03-26,9149
2018-03-27,12231
2018-03-28,15659
2018-03-29,14759
2018-03-30,16025
2018-03-31,23087
2018-04-01,105938
2018-04-02,64750
2018-04-03,21280
2018-04-04,18576
2018-04-05,24862
2018-04-06,20164
2018-04-07,87586
2018-04-08,28271
2018-04-09,18696
2018-04-10,28442
2018-04-11,21710
2018-04-12,21473
2018-04-13,22447
2018-04-14,31010
2018-04-15,32350
2018-04-16,10405
