date,rows
2018-01-01,14
2018-01-02,45
2018-01-03,31
2018-01-04,40
2018-01-05,47
2018-01-06,47
2018-01-07,36
2018-01-08,11
2018-01-09,12
2018-01-10,14
2018-01-11,11
2018-01-12,29
2018-01-13,22
2018-01-14,21
2018-01-15,40
2018-01-16,28
2018-01-17,40
2018-01-18,34
2018-01-19,25
2018-01-20,18
2018-01-21,14
2018-01-22,34
2018-01-23,34
2018-01-24,41
2018-01-25,28
2018-01-26,47
2018-01-27,26
2018-01-28,15
2018-01-29,23
2018-01-30,36
2018-01-31,29
2018-02-01,19
2018-02-02,25
2018-02-03,14
2018-02-04,14
2018-02-05,39
2018-02-06,25
2018-02-07,34
2018-02-08,24
2018-02-09,19
2018-02-10,18
2018-02-11,20
2018-02-12,28
2018-02-13,28
2018-02-14,43
2018-02-15,19
2018-02-16,29
2018-02-17,9
2018-02-18,15
2018-02-19,29
2018-02-20,25
2018-02-21,21
2018-02-22,21
2018-02-23,18
2018-02-24,19
2018-02-25,15
2018-02-26,18
2018-02-27,24
2018-02-28,26
2018-03-01,17
2018-03-02,21
2018-03-03,23
2018-03-04,16
2018-03-05,25
2018-03-06,19
2018-03-07,11
2018-03-08,21
2018-03-09,32
2018-03-10,14
2018-03-11,10
2018-03-12,29
2018-03-13,30
2018-03-14,39
2018-03-15,39
2018-03-16,43
2018-03-17,19
2018-03-18,8
2018-03-19,30
2018-03-20,22
2018-03-21,34
2018-03-22,31
2018-03-23,22
2018-03-24,15
2018-03-25,27
2018-03-26,32
2018-03-27,27
2018-03-28,18
2018-03-29,26
2018-03-30,22
2018-03-31,20
2018-04-01,18
2018-04-02,20
2018-04-03,33
2018-04-04,20
2018-04-05,29
2018-04-06,29
2018-04-07,13
2018-04-08,23
2018-04-09,29
2018-04-10,26
2018-04-11,21
2018-04-12,13
2018-04-13,16
2018-04-14,17
2018-04-15,19
2018-04-16,32
2018-04-17,35
2018-04-18,22
2018-04-19,20
2018-04-20,20
2018-04-21,6
2018-04-22,19
2018-04-23,40
2018-04-24,33
2018-04-25,26
2018-04-26,24
2018-04-27,20
2018-04-28,14
2018-04-29,13
2018-04-30,25
2018-05-01,29
2018-05-02,43
2018-05-03,15
2018-05-04,28
2018-05-05,15
2018-05-06,15
2018-05-07,30
2018-05-08,22
2018-05-09,34
2018-05-10,25
2018-05-11,37
2018-05-12,14
2018-05-13,12
2018-05-14,40
2018-05-15,18
2018-05-16,29
2018-05-17,22
2018-05-18,30
2018-05-19,19
2018-05-20,17
2018-05-21,24
2018-05-22,22
2018-05-23,20
2018-05-24,16
2018-05-25,26
2018-05-26,17
2018-05-27,12
2018-05-28,17
2018-05-29,26
2018-05-30,31
2018-05-31,22
2018-06-01,26
2018-06-02,20
2018-06-03,24
2018-06-04,33
2018-06-05,29
2018-06-06,26
2018-06-07,33
2018-06-08,20
2018-06-09,15
2018-06-10,20
2018-06-11,21
2018-06-12,17
2018-06-13,18
2018-06-14,17
2018-06-15,22
2018-06-16,14
2018-06-17,17
2018-06-18,31
2018-06-19,25
2018-06-20,30
2018-06-21,26
2018-06-22,32
2018-06-23,20
2018-06-24,8
2018-06-25,35
2018-06-26,42
2018-06-27,31
2018-06-28,23
2018-06-29,33
2018-06-30,17
2018-07-01,20
2018-07-02,23
2018-07-03,24
2018-07-04,21
2018-07-05,23
2018-07-06,30
2018-07-07,21
2018-07-08,12
2018-07-09,26
2018-07-10,19
2018-07-11,29
2018-07-12,22
2018-07-13,40
2018-07-14,20
2018-07-15,12
2018-07-16,27
2018-07-17,22
2018-07-18,20
2018-07-19,22
2018-07-20,19
2018-07-21,18
2018-07-22,11
2018-07-23,21
2018-07-24,19
2018-07-25,20
2018-07-26,27
2018-07-27,17
2018-07-28,8
