date,rows
2018-10-14,52649
2018-10-15,172578
2018-10-16,120110
2018-10-17,142039
2018-10-18,145415
2018-10-19,124575
2018-10-20,114384
2018-10-21,114015
2018-10-22,167251
2018-10-23,119547
2018-10-24,121878
2018-10-25,123663
2018-10-26,122570
2018-10-27,124316
2018-10-28,107016
2018-10-29,199655
2018-10-30,126375
2018-10-31,120165
2018-11-01,110715
2018-11-02,106903
2018-11-03,111149
2018-11-04,113680
2018-11-05,109624
2018-11-06,113452
2018-11-07,92796
2018-11-08,138427
2018-11-09,140782
2018-11-10,115212
2018-11-11,113955
2018-11-12,142885
2018-11-13,118844
2018-11-14,130601
2018-11-15,119192
2018-11-16,125440
2018-11-17,117443
2018-11-18,101009
2018-11-19,150384
2018-11-20,122630
2018-11-21,125047
2018-11-22,123515
2018-11-23,114269
2018-11-24,124552
2018-11-25,123935
2018-11-26,122320
2018-11-27,91292
2018-11-28,129730
2018-11-29,126516
2018-11-30,122429
2018-12-01,113773
2018-12-02,113108
2018-12-03,115010
2018-12-04,113598
2018-12-05,145088
2018-12-06,116237
2018-12-07,148363
2018-12-08,119560
2018-12-09,119816
2018-12-10,144205
2018-12-11,115702
2018-12-12,118631
2018-12-13,144410
2018-12-14,120974
2018-12-15,121758
2018-12-16,123069
2018-12-17,154413
2018-12-18,137221
2018-12-19,123049
2018-12-20,123472
2018-12-21,121704
2018-12-22,122492
2018-12-23,123697
2018-12-24,110652
2018-12-25,121913
2018-12-26,113221
2018-12-27,134070
2018-12-28,123544
2018-12-29,147889
2018-12-30,119132
2018-12-31,128117
2019-01-01,97397
2019-01-02,113451
2019-01-03,108323
2019-01-04,112741
2019-01-05,99022
2019-01-06,98152
2019-01-07,99578
2019-01-08,99346
2019-01-09,119206
2019-01-10,100810
2019-01-11,82138
2019-01-12,111282
2019-01-13,114347
2019-01-14,173014
2019-01-15,125347
2019-01-16,106889
2019-01-17,130907
2019-01-18,113084
2019-01-19,102109
2019-01-20,103148
2019-01-21,111377
2019-01-22,113859
2019-01-23,109520
2019-01-24,90844
2019-01-25,128151
2019-01-26,112526
2019-01-27,113516
2019-01-28,118941
2019-01-29,87458
2019-01-30,133984
2019-01-31,108960
2019-02-01,93536
2019-02-02,89655
2019-02-03,91797
2019-02-04,130942
2019-02-05,88858
2019-02-06,164065
2019-02-07,127327
2019-02-08,99025
2019-02-09,50677
2019-02-10,103506
2019-02-11,88102
2019-02-12,106205
2019-02-13,100942
2019-02-14,109895
2019-02-15,107104
2019-02-16,112828
2019-02-17,108629
2019-02-18,108672
2019-02-19,113057
2019-02-20,108876
2019-02-21,110375
2019-02-22,133150
2019-02-23,111339
2019-02-24,111767
2019-02-25,142473
2019-02-26,121407
2019-02-27,132517
2019-02-28,112065
2019-03-01,100553
2019-03-02,100890
2019-03-03,92396
2019-03-04,102985
2019-03-05,106357
2019-03-06,103065
2019-03-07,126599
2019-03-08,106793
2019-03-09,108825
2019-03-10,109253
2019-03-11,109327
2019-03-12,121697
2019-03-13,125706
2019-03-14,116871
2019-03-15,133013
2019-03-16,111814
2019-03-17,112318
2019-03-18,111356
2019-03-19,110740
2019-03-20,111057
2019-03-21,112006
2019-03-22,115407
2019-03-23,94868
2019-03-24,93957
2019-03-25,138624
2019-03-26,117317
2019-03-27,115078
2019-03-28,126037
2019-03-29,118751
2019-03-30,117724
2019-03-31,119245
2019-04-01,108998
2019-04-02,109068
2019-04-03,107813
2019-04-04,110841
2019-04-05,108224
2019-04-06,111207
2019-04-07,109831
2019-04-08,115227
2019-04-09,109075
2019-04-10,134042
2019-04-11,130802
2019-04-12,117930
2019-04-13,115647
2019-04-14,124361
2019-04-15,118177
2019-04-16,118767
2019-04-17,116340
2019-04-18,140170
2019-04-19,85751
2019-04-20,65602
2019-04-21,65458
2019-04-22,116613
2019-04-23,116714
2019-04-24,119037
2019-04-25,89406
2019-04-26,158439
2019-04-27,120855
2019-04-28,121694
2019-04-29,120651
2019-04-30,167373
2019-05-01,113686
2019-05-02,112786
2019-05-03,107783
2019-05-04,112434
2019-05-05,114018
2019-05-06,114236
2019-05-07,111245
2019-05-08,109711
2019-05-09,111100
2019-05-10,108766
2019-05-11,121110
2019-05-12,115327
2019-05-13,114937
2019-05-14,116991
2019-05-15,135903
2019-05-16,131511
2019-05-17,132356
2019-05-18,130437
2019-05-19,131725
2019-05-20,135049
2019-05-21,133246
2019-05-22,131481
2019-05-23,135124
2019-05-24,138891
2019-05-25,136080
2019-05-26,135833
2019-05-27,91149
2019-05-28,113981
2019-05-29,133856
2019-05-30,132308
2019-05-31,133646
2019-06-01,143632
2019-06-02,127091
2019-06-03,126272
2019-06-04,122557
2019-06-05,143206
2019-06-06,124263
2019-06-07,129516
2019-06-08,110915
2019-06-09,55820
2019-06-10,132806
2019-06-11,127165
2019-06-12,143153
2019-06-13,134452
2019-06-14,161397
2019-06-15,138165
2019-06-16,135566
2019-06-17,159708
2019-06-18,145200
2019-06-19,147008
2019-06-20,139589
2019-06-21,140671
2019-06-22,137918
2019-06-23,135986
2019-06-24,136139
2019-06-25,140590
2019-06-26,135517
2019-06-27,145473
2019-06-28,153026
2019-06-29,146036
2019-06-30,144562
2019-07-01,150577
2019-07-02,138335
2019-07-03,140312
2019-07-04,132751
2019-07-05,140921
2019-07-06,136676
2019-07-07,120410
2019-07-08,127587
2019-07-09,130710
2019-07-10,130234
2019-07-11,129976
2019-07-12,153585
2019-07-13,114866
2019-07-14,131766
2019-07-15,155435
2019-07-16,148257
2019-07-17,146645
2019-07-18,146536
2019-07-19,157485
2019-07-20,139401
2019-07-21,140910
2019-07-22,109416
2019-07-23,135867
2019-07-24,137492
2019-07-25,144119
2019-07-26,242497
2019-07-27,141335
2019-07-28,127488
2019-07-29,161676
2019-07-30,130896
2019-07-31,147805
2019-08-01,122588
2019-08-02,126680
2019-08-03,113356
2019-08-04,107679
2019-08-05,111144
2019-08-06,141897
2019-08-07,132176
2019-08-08,133059
2019-08-09,132030
2019-08-10,135995
2019-08-11,136971
2019-08-12,150697
2019-08-13,164560
2019-08-14,160662
2019-08-15,146130
2019-08-16,168210
2019-08-17,143364
2019-08-18,21879
2019-08-19,221647
2019-08-20,143241
2019-08-21,154847
2019-08-22,174381
2019-08-23,158756
2019-08-24,150787
2019-08-25,118283
2019-08-26,167309
2019-08-27,168118
2019-08-28,153795
2019-08-29,215679
2019-08-30,162160
2019-08-31,147507
2019-09-01,148169
2019-09-02,151030
2019-09-03,134883
2019-09-04,145262
2019-09-05,130299
2019-09-06,171002
2019-09-07,144095
2019-09-08,145689
2019-09-09,151436
2019-09-10,146501
2019-09-11,204691
2019-09-12,171831
2019-09-13,148403
2019-09-14,142576
2019-09-15,148674
2019-09-16,170583
2019-09-17,154656
2019-09-18,181504
2019-09-19,199198
2019-09-20,103750
2019-09-21,146410
2019-09-22,156372
2019-09-23,160237
2019-09-24,161724
2019-09-25,162858
2019-09-26,156944
2019-09-27,157760
2019-09-28,162563
2019-09-29,163963
2019-09-30,158641
2019-10-01,158056
2019-10-02,165083
2019-10-03,146596
2019-10-04,169204
2019-10-05,149238
2019-10-06,143809
2019-10-07,186751
2019-10-08,154780
2019-10-09,153814
2019-10-10,162999
2019-10-11,174844
2019-10-12,164590
2019-10-13,163581
2019-10-14,166729
2019-10-15,185409
2019-10-16,160668
2019-10-17,167544
2019-10-18,163051
2019-10-19,160307
2019-10-20,159244
2019-10-21,168427
2019-10-22,162370
2019-10-23,190101
2019-10-24,186765
2019-10-25,160545
2019-10-26,169927
2019-10-27,166858
2019-10-28,169657
2019-10-29,179922
2019-10-30,161116
2019-10-31,180913
2019-11-01,150407
2019-11-02,149056
2019-11-03,153726
2019-11-04,153640
2019-11-05,161761
2019-11-06,197520
2019-11-07,224304
2019-11-08,159662
2019-11-09,183125
2019-11-10,122290
2019-11-11,188738
2019-11-12,160372
2019-11-13,169574
2019-11-14,162062
2019-11-15,170068
