date,rows
2020-04-20,6
2020-05-14,2
2020-06-23,1
2020-08-01,1
2020-08-06,1
2020-09-18,1
2020-10-15,1
2020-10-20,1
2020-11-11,1
2020-11-18,1
2020-12-03,1
2020-12-09,1
2020-12-15,1
2020-12-25,1
2020-12-31,1
2021-01-11,1
2021-01-15,1
2021-01-20,1
2021-01-21,2
2021-02-10,1
2021-02-16,1
2021-02-25,1
2021-03-31,1
2021-04-09,153
2021-04-13,1
2021-04-14,4
2021-04-15,1
2021-04-22,2
2021-04-29,2
2021-05-08,1
2021-05-11,1
2021-05-12,1
2021-05-13,1
2021-05-14,2
2021-05-15,3
2021-05-17,1
2021-05-18,1
2021-05-19,4
2021-05-21,1
2021-05-26,1
2021-05-27,1
2021-05-28,1
2021-05-29,1
2021-06-04,2
2021-06-05,1
2021-06-06,1
2021-06-10,1
2021-06-11,2
2021-06-14,1
2021-06-17,1
2021-06-19,1
2021-06-20,2
2021-06-23,2
2021-06-24,5
2021-06-25,3
2021-06-30,1
2021-07-01,1
2021-07-03,2
2021-07-04,1
2021-07-05,1
2021-07-06,1
2021-07-09,1
2021-07-10,5
2021-07-11,3
2021-07-12,1
2021-07-14,2
2021-07-16,1
2021-07-18,3
2021-07-20,1
2021-07-22,1
2021-07-23,1
2021-07-24,7
2021-07-26,2
2021-07-29,1
2021-07-30,4
2021-07-31,2
2021-08-05,1
2021-08-06,5
2021-08-07,5
2021-08-09,4
2021-08-11,2
2021-08-12,1
2021-08-13,1
2021-08-14,3
2021-08-15,1
2021-08-18,3
2021-08-19,8
2021-08-20,13
2021-08-21,1
2021-08-24,1
2021-08-25,2
2021-08-26,2
2021-08-27,5
2021-08-28,9
2021-08-29,2
2021-08-30,2
2021-08-31,1
2021-09-01,13
2021-09-02,2
2021-09-03,18
2021-09-11,2
2021-09-12,1
2021-09-13,1
2021-09-14,2
2021-09-15,1
2021-09-16,2
2021-09-18,1
2021-09-20,1
2021-09-22,2
2021-09-30,3
2021-10-01,2
2021-10-02,1
2021-10-03,1
2021-10-05,2
2021-10-07,2
2021-10-09,1
2021-10-11,1
2021-10-12,2
2021-10-13,1
2021-10-14,2
2021-10-15,2
2021-10-18,1
2021-10-21,2
2021-10-22,1
2021-10-25,1
2021-10-26,2
2021-10-27,4
2021-10-29,1
2021-11-01,1
2021-11-02,3
2021-11-03,3
2021-11-04,3
2021-11-05,2
2021-11-09,1
2021-11-11,2
2021-11-12,1
2021-11-14,2
2021-11-15,3
2021-11-16,1
2021-11-18,1
2021-11-22,1
2021-11-23,1
2021-11-24,3
2021-11-25,3
2021-11-26,1
2021-11-27,1
2021-11-30,3
2021-12-01,5
2021-12-03,2
2021-12-04,2
2021-12-07,4
2021-12-08,1
2021-12-09,4
2021-12-10,4
2021-12-13,3
2021-12-14,2
2021-12-17,1
2021-12-18,3
2021-12-20,4
2021-12-21,1
2021-12-22,8
2021-12-23,1
2021-12-24,3
2021-12-27,3
2021-12-29,1
2021-12-30,3
2021-12-31,1
2022-01-02,1
2022-01-04,1
2022-01-05,3
2022-01-06,1
2022-01-07,2
2022-01-11,2
2022-01-12,2
2022-01-13,1
2022-01-14,3
2022-01-15,2
2022-01-16,3
2022-01-17,1
2022-01-18,2
2022-01-19,1
2022-01-20,3
2022-01-21,2
2022-01-22,3
2022-01-23,2
2022-01-25,1
2022-01-26,1
2022-01-27,6
2022-01-28,5
2022-01-30,1
2022-02-02,1
2022-02-03,3
2022-02-04,4
2022-02-05,6
2022-02-07,1
2022-02-08,1
2022-02-10,2
2022-02-11,3
2022-02-12,1
2022-02-13,1
