date,rows
2019-01-01,1863
2019-01-02,2199
2019-01-03,1893
2019-01-04,1815
2019-01-05,2005
2019-01-06,2286
2019-01-07,2060
2019-01-08,2180
2019-01-09,2141
2019-01-10,2117
2019-01-11,2441
2019-01-12,2239
2019-01-13,1922
2019-01-14,1724
2019-01-15,1551
2019-01-16,1398
2019-01-17,66
2019-01-19,12
2019-01-21,22
2019-01-22,23
2019-01-23,9
2019-01-24,13
2019-02-01,24
2019-02-07,12
2019-02-13,12
2019-02-19,11
2019-03-01,49
2019-03-04,24
2019-03-05,12
2019-03-06,285
2019-03-07,210
2019-03-08,23
2019-03-09,13
2019-03-11,24
2019-03-12,1
2019-03-13,12
2019-03-14,12
2019-03-18,11
2019-03-19,65
2019-03-20,328
2019-03-21,18
2019-03-22,26
2019-03-23,3
2019-03-25,4
2019-03-26,5
2019-03-27,2
2019-03-28,13
2019-03-29,15
2019-04-02,1
2019-04-03,17
2019-04-04,33
2019-04-05,14
2019-04-06,38
2019-04-07,25
2019-04-08,22
2019-04-09,69
2019-04-10,29
2019-04-11,38
2019-04-12,32
2019-04-13,61
2019-04-14,30
2019-04-15,88
2019-04-16,365
2019-04-17,314
2019-04-18,334
2019-04-19,340
2019-04-20,360
2019-04-21,260
2019-04-22,267
2019-04-23,290
2019-04-24,235
2019-04-25,179
2019-04-26,108
2019-04-27,145
2019-04-28,132
2019-04-29,128
2019-04-30,90
2019-05-01,104
2019-05-02,104
2019-05-03,240
2019-05-04,235
2019-05-05,221
2019-05-06,195
2019-05-07,202
2019-05-08,194
2019-05-09,280
2019-05-10,273
2019-05-11,302
2019-05-12,343
2019-05-13,297
2019-05-14,416
2019-05-15,353
2019-05-16,329
2019-05-17,238
2019-05-18,104
2019-05-19,102
2019-05-20,146
2019-05-21,299
2019-05-22,271
2019-05-23,324
2019-05-24,364
2019-05-25,359
2019-05-26,383
2019-05-27,522
2019-05-28,548
2019-05-29,464
2019-05-30,726
2019-05-31,2277
2019-06-01,1926
2019-06-02,1416
2019-06-03,1846
2019-06-04,1262
2019-06-05,1874
2019-06-06,1395
2019-06-07,1629
2019-06-08,1694
2019-06-09,1847
2019-06-10,1768
2019-06-11,1573
2019-06-12,2095
2019-06-13,1639
2019-06-14,1711
2019-06-15,1703
2019-06-16,1650
2019-06-17,1628
2019-06-18,1967
2019-06-19,1825
2019-06-20,1945
2019-06-21,1888
2019-06-22,2222
2019-06-23,2292
2019-06-24,2344
2019-06-25,2771
2019-06-26,2100
2019-06-27,2265
2019-06-28,1494
2019-06-29,1522
2019-06-30,1485
2019-07-01,1195
2019-07-02,1400
2019-07-03,1162
2019-07-04,1018
2019-07-05,989
2019-07-06,1161
2019-07-07,1156
2019-07-08,1029
2019-07-09,1423
2019-07-10,1217
2019-07-11,1391
2019-07-12,1356
2019-07-13,1422
2019-07-14,1300
2019-07-15,1354
2019-07-16,1406
2019-07-17,980
2019-07-18,1112
2019-07-19,1622
2019-07-20,1708
2019-07-21,1598
2019-07-22,1500
2019-07-23,1598
2019-07-24,1957
2019-07-25,2617
2019-07-26,2626
2019-07-27,2280
2019-07-28,2356
2019-07-29,2706
2019-07-30,2677
2019-07-31,3723
2019-08-01,4225
2019-08-02,4566
2019-08-03,4603
2019-08-04,5363
2019-08-05,7325
2019-08-06,6716
2019-08-07,7863
2019-08-08,7387
2019-08-09,7438
2019-08-10,7613
2019-08-11,8562
2019-08-12,8206
2019-08-13,6778
2019-08-14,7498
