date,rows
2020-08-20,6790
2020-08-21,12491
2020-08-22,13369
2020-08-23,14803
2020-08-24,12560
2020-08-25,10818
2020-08-26,9751
2020-08-27,7691
2020-08-28,6570
2020-08-29,5790
2020-08-30,6413
2020-08-31,5881
2020-09-01,13534
2020-09-02,15322
2020-09-03,13861
2020-09-04,11663
2020-09-05,11576
2020-09-06,12836
2020-09-07,12005
2020-09-08,11337
2020-09-09,10168
2020-09-10,10595
2020-09-11,10090
2020-09-12,10823
2020-09-13,12405
2020-09-14,9939
2020-09-15,10126
2020-09-16,10769
2020-09-17,10530
2020-09-18,10226
2020-09-19,10318
2020-09-20,11618
2020-09-21,11622
2020-09-22,12162
2020-09-23,10249
2020-09-24,13388
2020-09-25,12403
2020-09-26,12614
2020-09-27,13949
2020-09-28,9406
2020-09-29,8311
2020-09-30,7403
2020-10-01,10850
2020-10-02,13276
2020-10-03,14914
2020-10-04,17177
2020-10-05,14966
2020-10-06,14405
2020-10-07,13119
2020-10-08,11384
2020-10-09,11201
2020-10-10,11593
2020-10-11,13069
2020-10-12,11867
2020-10-13,10465
2020-10-14,10613
2020-10-15,11557
2020-10-16,11152
2020-10-17,10393
2020-10-18,11883
2020-10-19,12830
2020-10-20,12887
2020-10-21,11945
2020-10-22,11926
2020-10-23,11545
2020-10-24,11242
2020-10-25,13129
2020-10-26,11147
2020-10-27,10725
2020-10-28,9119
2020-10-29,7750
2020-10-30,6779
2020-10-31,7272
2020-11-01,10972
2020-11-02,9808
2020-11-03,10851
2020-11-04,12638
2020-11-05,13666
2020-11-06,13095
2020-11-07,12077
2020-11-08,14777
2020-11-09,12857
2020-11-10,13633
2020-11-11,13326
2020-11-12,13483
2020-11-13,12281
2020-11-14,13945
2020-11-15,14613
2020-11-16,11686
2020-11-17,11777
2020-11-18,12222
2020-11-19,13071
2020-11-20,13730
2020-11-21,13977
2020-11-22,15327
2020-11-23,12945
2020-11-24,11228
2020-11-25,10864
2020-11-26,11128
2020-11-27,10718
2020-11-28,9275
2020-11-29,8108
2020-11-30,5699
2020-12-01,11693
2020-12-02,13513
2020-12-03,13915
2020-12-04,12780
2020-12-05,13085
2020-12-06,14337
2020-12-07,11854
2020-12-08,12397
2020-12-09,13248
2020-12-10,13178
2020-12-11,13606
2020-12-12,13124
2020-12-13,14037
2020-12-14,14517
2020-12-15,14610
2020-12-16,15869
2020-12-17,21227
2020-12-18,13484
2020-12-19,11600
2020-12-20,13500
2020-12-21,11194
2020-12-22,11913
2020-12-23,11287
2020-12-24,10784
2020-12-25,10625
2020-12-26,9073
2020-12-27,7365
2020-12-28,7252
2020-12-29,6929
2020-12-30,7108
2020-12-31,5975
2021-01-01,7739
2021-01-02,6958
2021-01-03,7620
2021-01-04,10207
2021-01-05,14319
2021-01-06,14177
2021-01-07,15666
2021-01-08,16472
2021-01-09,16659
2021-01-10,18138
2021-01-11,14292
2021-01-12,14314
2021-01-13,12740
2021-01-14,12478
2021-01-15,12846
2021-01-16,12729
2021-01-17,13012
2021-01-18,10927
2021-01-19,12036
2021-01-20,14175
2021-01-21,15783
2021-01-22,15596
2021-01-23,16047
2021-01-24,19671
2021-01-25,13946
2021-01-26,14560
2021-01-27,13672
2021-01-28,12172
2021-01-29,9852
2021-01-30,9895
2021-01-31,8219
2021-02-01,7771
2021-02-02,11521
2021-02-03,13113
2021-02-04,15018
2021-02-05,15593
2021-02-06,16651
2021-02-07,17418
2021-02-08,14566
2021-02-09,13800
2021-02-10,12391
2021-02-11,12297
2021-02-12,11837
2021-02-13,12957
2021-02-14,14016
2021-02-15,14315
2021-02-16,13808
2021-02-17,12032
2021-02-18,12237
2021-02-19,12407
2021-02-20,13164
2021-02-21,14397
2021-02-22,11145
2021-02-23,12352
2021-02-24,14343
2021-02-25,16819
2021-02-26,15117
2021-02-27,10852
2021-02-28,7299
2021-03-01,5083
2021-03-02,8816
2021-03-03,13050
2021-03-04,16176
2021-03-05,16788
2021-03-06,18333
2021-03-07,20326
2021-03-08,15503
2021-03-09,11635
2021-03-10,11791
2021-03-11,12066
2021-03-12,11859
2021-03-13,12043
2021-03-14,13121
2021-03-15,12539
2021-03-16,12257
2021-03-17,12030
2021-03-18,11330
2021-03-19,9058
2021-03-20,8797
2021-03-21,10519
2021-03-22,10920
2021-03-23,12634
2021-03-24,12326
2021-03-25,12813
2021-03-26,13132
2021-03-27,14339
2021-03-28,15627
2021-03-29,14867
2021-03-30,12212
2021-03-31,9489
2021-04-01,5076
2021-04-02,5595
2021-04-03,6315
2021-04-04,6724
2021-04-05,8893
2021-04-06,9660
2021-04-07,9216
2021-04-08,10632
2021-04-09,11032
2021-04-10,13537
2021-04-11,14781
2021-04-12,14576
2021-04-13,13897
2021-04-14,17543
2021-04-15,18219
2021-04-16,17251
2021-04-17,16672
2021-04-18,17370
2021-04-19,15814
2021-04-20,16934
2021-04-21,18534
2021-04-22,17785
2021-04-23,16929
2021-04-24,16329
2021-04-25,17460
2021-04-26,14368
2021-04-27,11191
2021-04-28,11285
2021-04-29,10755
2021-04-30,9091
2021-05-01,4653
2021-05-02,6317
2021-05-03,7421
2021-05-04,8863
2021-05-05,8351
2021-05-06,10793
2021-05-07,12775
2021-05-08,12321
2021-05-09,15353
2021-05-10,15021
2021-05-11,15517
2021-05-12,15008
2021-05-13,14993
2021-05-14,14920
2021-05-15,15903
2021-05-16,17098
2021-05-17,16859
2021-05-18,18295
2021-05-19,19148
2021-05-20,17755
2021-05-21,16663
2021-05-22,17182
2021-05-23,19632
2021-05-24,14826
2021-05-25,13430
2021-05-26,11632
2021-05-27,10397
2021-05-28,10278
2021-05-29,9583
2021-05-30,7467
2021-05-31,6430
2021-06-01,5856
2021-06-02,10356
2021-06-03,12320
2021-06-04,12662
2021-06-05,13399
2021-06-06,14388
2021-06-07,13828
2021-06-08,14036
2021-06-09,12594
2021-06-10,13221
2021-06-11,12406
2021-06-12,12113
2021-06-13,13312
2021-06-14,13331
2021-06-15,13315
2021-06-16,12057
2021-06-17,12602
2021-06-18,12851
2021-06-19,12453
2021-06-20,12104
2021-06-21,10997
2021-06-22,11098
2021-06-23,10419
2021-06-24,11774
2021-06-25,13022
2021-06-26,14844
2021-06-27,16470
2021-06-28,11670
2021-06-29,8861
2021-06-30,6288
2021-07-01,9122
2021-07-02,12009
2021-07-03,12858
2021-07-04,13728
2021-07-05,15298
2021-07-06,13736
2021-07-07,12592
2021-07-08,12571
2021-07-09,11920
2021-07-10,12257
2021-07-11,13504
2021-07-12,12698
2021-07-13,13503
2021-07-14,12970
2021-07-15,12673
2021-07-16,13249
2021-07-17,13466
2021-07-18,15667
2021-07-19,14595
2021-07-20,13491
2021-07-21,10018
2021-07-22,10406
2021-07-23,10147
2021-07-24,10420
2021-07-25,11676
2021-07-26,9682
2021-07-27,9180
2021-07-28,8550
2021-07-29,7876
2021-07-30,6916
2021-07-31,7568
2021-08-01,6997
2021-08-02,5761
