date,rows
2020-04-20,8
2020-04-23,2
2020-05-14,2
2020-06-23,1
2020-07-10,1
2020-08-01,1
2020-08-06,1
2020-09-18,2
2020-10-01,1
2020-10-15,1
2020-10-20,1
2020-11-11,1
2020-11-18,1
2020-11-28,1
2020-12-09,1
2020-12-15,1
2020-12-25,1
2020-12-31,1
2021-01-11,1
2021-01-15,1
2021-01-20,1
2021-01-21,2
2021-02-10,1
2021-02-16,1
2021-02-25,1
2021-03-31,1
2021-04-08,162
2021-04-09,1
2021-04-13,1
2021-04-14,5
2021-04-15,1
2021-04-22,2
2021-04-29,2
2021-05-01,1
2021-05-08,1
2021-05-11,1
2021-05-12,1
2021-05-13,3
2021-05-14,3
2021-05-15,3
2021-05-17,1
2021-05-18,2
2021-05-19,3
2021-05-20,1
2021-05-21,1
2021-05-26,1
2021-05-27,2
2021-05-28,1
2021-05-29,1
2021-06-03,2
2021-06-05,1
2021-06-06,1
2021-06-10,1
2021-06-11,2
2021-06-12,1
2021-06-14,1
2021-06-16,4
2021-06-17,2
2021-06-19,1
2021-06-20,2
2021-06-23,1
2021-06-24,4
2021-06-25,1
2021-06-27,1
2021-06-30,2
2021-07-01,2
2021-07-03,3
2021-07-04,2
2021-07-05,1
2021-07-06,1
2021-07-07,2
2021-07-08,1
2021-07-09,1
2021-07-10,6
2021-07-11,3
2021-07-12,1
2021-07-14,5
2021-07-16,3
2021-07-18,1
2021-07-19,1
2021-07-22,1
2021-07-23,8
2021-07-24,2
2021-07-25,1
2021-07-26,1
2021-07-29,1
2021-07-30,4
2021-07-31,3
2021-08-01,2
2021-08-04,1
2021-08-05,5
2021-08-06,11
2021-08-08,4
2021-08-10,3
2021-08-11,2
2021-08-12,1
2021-08-13,1
2021-08-14,2
2021-08-15,2
2021-08-16,9
2021-08-17,2
2021-08-18,8
2021-08-19,9
2021-08-20,13
2021-08-21,1
2021-08-24,1
2021-08-25,2
2021-08-26,3
2021-08-27,7
2021-08-28,9
2021-08-29,2
2021-08-30,2
2021-08-31,2
2021-09-01,13
2021-09-02,4
2021-09-03,21
2021-09-05,1
2021-09-08,2
2021-09-09,1
2021-09-10,4
2021-09-12,2
2021-09-14,4
2021-09-15,1
2021-09-16,3
2021-09-17,2
2021-09-18,3
2021-09-19,1
2021-09-20,1
2021-09-21,1
2021-09-22,2
2021-09-23,2
2021-09-24,2
2021-09-27,1
2021-09-29,1
2021-09-30,5
2021-10-01,4
2021-10-02,3
2021-10-03,1
2021-10-05,2
2021-10-06,1
2021-10-07,3
2021-10-08,1
2021-10-09,2
2021-10-11,42
2021-10-12,5
2021-10-13,2
2021-10-14,6
2021-10-15,6
2021-10-16,1
2021-10-18,1
2021-10-19,2
2021-10-20,1
2021-10-21,5
2021-10-22,5
2021-10-23,1
2021-10-24,6
2021-10-25,1
2021-10-26,8
2021-10-27,5
2021-10-28,2
2021-10-29,1
2021-10-30,2
2021-11-01,1
2021-11-02,9
2021-11-03,5
2021-11-04,8
2021-11-05,3
2021-11-07,4
2021-11-09,9
2021-11-10,1
2021-11-11,6
2021-11-12,8
2021-11-14,5
2021-11-15,1
2021-11-16,4
2021-11-17,4
2021-11-18,6
2021-11-21,1
2021-11-22,4
2021-11-23,5
2021-11-24,9
2021-11-25,5
2021-11-27,5
2021-11-29,7
2021-11-30,22
2021-12-01,14
2021-12-02,1
2021-12-03,11
2021-12-04,1
2021-12-05,2
2021-12-07,4
2021-12-08,3
2021-12-09,5
2021-12-10,5
2021-12-12,2
2021-12-13,3
2021-12-14,2
2021-12-15,2
2021-12-16,1
2021-12-17,3
2021-12-18,3
2021-12-19,1
2021-12-20,4
2021-12-21,3
2021-12-22,12
2021-12-23,3
2021-12-24,7
2021-12-27,4
2021-12-28,1
2021-12-29,3
2021-12-30,4
2021-12-31,3
2022-01-02,1
2022-01-04,2
2022-01-05,4
2022-01-06,1
2022-01-07,4
2022-01-08,1
2022-01-11,3
2022-01-12,3
2022-01-13,1
2022-01-14,3
2022-01-15,4
2022-01-16,5
2022-01-18,3
2022-01-19,5
2022-01-20,3
2022-01-21,8
2022-01-22,8
2022-01-23,2
2022-01-25,2
2022-01-26,9
2022-01-27,6
2022-01-28,7
2022-01-29,2
2022-01-30,3
2022-01-31,1
2022-02-01,1
2022-02-02,2
2022-02-03,4
2022-02-04,4
2022-02-05,12
2022-02-07,1
2022-02-08,2
2022-02-10,5
2022-02-11,8
2022-02-12,4
2022-02-13,4
2022-02-15,4
2022-02-16,4
2022-02-17,7
2022-02-18,4
2022-02-19,7
2022-02-20,2
2022-02-22,11
2022-02-23,18
2022-02-24,10
2022-02-25,1
2022-02-26,9
2022-02-27,2
2022-03-01,5
2022-03-02,9
2022-03-03,6
2022-03-04,11
2022-03-05,3
2022-03-06,3
2022-03-07,2
2022-03-08,3
2022-03-09,5
2022-03-10,3
2022-03-11,15
2022-03-12,4
2022-03-13,1
2022-03-14,5
2022-03-15,9
2022-03-16,12
2022-03-17,10
2022-03-18,7
2022-03-19,8
2022-03-20,6
2022-03-21,5
2022-03-22,7
2022-03-23,5
2022-03-24,5
2022-03-25,3
2022-03-26,24
2022-03-27,1
2022-03-29,3
2022-03-30,5
2022-03-31,7
2022-04-01,6
2022-04-02,5
2022-04-03,2
2022-04-04,4
2022-04-05,3
2022-04-06,7
2022-04-07,16
2022-04-08,9
2022-04-09,5
2022-04-10,5
2022-04-12,3
2022-04-13,12
2022-04-14,6
2022-04-15,1
2022-04-16,4
2022-04-17,3
2022-04-19,5
2022-04-20,20
2022-04-21,7
2022-04-22,13
2022-04-23,13
2022-04-24,7
2022-04-25,3
2022-04-26,14
2022-04-27,4
2022-04-28,9
2022-04-29,13
2022-04-30,4
2022-05-01,4
2022-05-02,1
2022-05-03,5
2022-05-04,4
2022-05-05,8
2022-05-06,4
2022-05-07,9
2022-05-08,6
2022-05-09,4
2022-05-10,22
2022-05-11,8
2022-05-12,5
2022-05-13,5
2022-05-14,6
2022-05-15,3
2022-05-16,2
2022-05-17,7
2022-05-18,5
2022-05-19,10
2022-05-20,6
2022-05-21,19
2022-05-22,6
2022-05-23,6
2022-05-24,7
2022-05-25,25
2022-05-26,323
2022-05-27,43
2022-05-28,177
2022-05-29,18
2022-05-30,5
2022-05-31,11
2022-06-01,14
2022-06-02,27
2022-06-03,10
2022-06-04,30
2022-06-05,9
2022-06-06,5
2022-06-07,13
2022-06-08,17
2022-06-09,16
2022-06-10,20
2022-06-11,23
2022-06-12,13
2022-06-13,14
2022-06-14,17
2022-06-15,18
2022-06-16,12
2022-06-17,13
2022-06-18,16
2022-06-19,12
2022-06-20,4
2022-06-21,7
2022-06-22,10
2022-06-23,20
2022-06-24,21
2022-06-25,23
2022-06-26,18
2022-06-27,4
2022-06-28,8
2022-06-29,45
2022-06-30,19
2022-07-01,26
2022-07-02,25
2022-07-03,13
2022-07-04,5
2022-07-05,63
2022-07-06,67
2022-07-07,26
2022-07-08,68
2022-07-09,8
2022-07-10,2
2022-07-11,43
2022-07-12,16
2022-07-13,33
2022-07-14,138
2022-07-15,30
2022-07-16,21
2022-07-17,13
2022-07-18,39
2022-07-19,21
2022-07-20,26
2022-07-21,24
2022-07-22,57
2022-07-23,34
2022-07-24,18
2022-07-25,5
2022-07-26,20
2022-07-27,48
2022-07-28,104
2022-07-29,44
2022-07-30,28
2022-07-31,25
2022-08-01,8
2022-08-02,24
2022-08-03,42
2022-08-04,46
2022-08-05,27
2022-08-06,23
2022-08-07,16
2022-08-08,14
2022-08-09,233
2022-08-10,339
2022-08-11,43
2022-08-12,69
2022-08-13,41
2022-08-14,22
2022-08-15,7
2022-08-16,35
2022-08-17,52
2022-08-18,65
2022-08-19,31
2022-08-20,29
2022-08-21,21
2022-08-22,29
2022-08-23,30
2022-08-24,37
2022-08-25,46
2022-08-26,368
2022-08-27,50
2022-08-28,22
2022-08-29,20
2022-08-30,38
2022-08-31,39
2022-09-01,55
2022-09-02,54
2022-09-03,34
2022-09-04,17
2022-09-05,10
2022-09-06,5
2022-09-07,40
2022-09-08,54
2022-09-09,55
2022-09-10,66
2022-09-11,20
2022-09-12,16
2022-09-13,24
2022-09-14,58
2022-09-15,68
2022-09-16,53
2022-09-17,65
2022-09-18,56
2022-09-19,15
2022-09-20,27
2022-09-21,48
2022-09-22,56
2022-09-23,46
2022-09-24,61
2022-09-25,38
2022-09-26,14
2022-09-27,28
2022-09-28,58
2022-09-29,85
2022-09-30,79
2022-10-01,77
2022-10-02,33
2022-10-03,29
