date,rows
2018-01-26,1
2018-02-20,1
2018-03-07,2
2018-03-19,1
2018-03-26,1
2018-03-27,1
2018-05-07,1
2018-05-18,1
2018-05-28,1
2018-11-21,2
2018-11-26,1
2018-12-05,1
2019-01-28,1
2019-01-29,1
2019-02-13,1
2019-02-21,1
2019-06-08,1
2019-06-11,2
2019-08-24,1
2019-09-03,1
2019-09-23,1
2019-10-02,1
2019-11-06,1
2019-11-14,1
2019-12-17,1
2020-01-23,1
2020-02-01,1
2020-02-11,1
2020-02-29,2
2020-03-04,1
2020-03-14,1
2020-03-24,1
2020-03-27,1
2020-04-14,1
2020-04-27,1
2020-05-29,1
2020-06-12,1
2020-06-23,2
2020-07-29,1
2020-08-12,1
2020-08-17,1
2020-08-28,1
2020-09-04,1
2020-09-10,1
2020-09-14,1
2020-09-15,2
2020-09-16,3
2020-09-18,2
2020-09-24,1
2020-09-25,2
2020-09-28,1
2020-09-30,1
2020-10-03,7
2020-10-08,3
2020-10-09,1
2020-10-12,3
2020-10-15,4
2020-10-19,2
2020-10-21,13
2020-10-25,1
2020-10-27,4
2020-10-29,3
2020-10-30,8
2020-11-01,6
2020-11-02,9
2020-11-05,2
2020-11-07,2
2020-11-09,6
2020-11-10,6
2020-11-11,1
2020-11-12,1
2020-11-14,1
2020-11-16,9
2020-11-18,1
2020-11-19,2
2020-11-24,12
2020-11-25,2
2020-11-26,8
2020-11-27,2
2020-11-30,2
2020-12-02,4
2020-12-04,6
2020-12-08,8
2020-12-09,6
2020-12-10,1
2020-12-11,25
2020-12-14,4
2020-12-21,14
2020-12-23,25
2020-12-25,2
2020-12-26,5
2020-12-28,1
2020-12-29,13
2020-12-31,13
2021-01-01,3
2021-01-04,8
2021-01-06,9
2021-01-07,2
2021-01-08,21
2021-01-09,1
2021-01-11,2
2021-01-12,32
2021-01-15,7
2021-01-16,1
2021-01-17,2
2021-01-19,5
2021-01-21,1
2021-01-22,7
2021-01-24,3
2021-01-25,9
2021-01-26,2
2021-01-27,2
2021-01-28,21
2021-01-30,5
2021-01-31,33
2021-02-01,51
2021-02-02,37
2021-02-03,38
2021-02-04,43
2021-02-05,2
2021-02-06,34
2021-02-07,2
2021-02-08,20
2021-02-09,28
2021-02-10,1
2021-02-11,64
2021-02-12,24
2021-02-18,20
2021-02-19,1
2021-02-22,10
2021-02-23,3
2021-02-24,7
2021-02-26,16
2021-03-02,25
2021-03-04,9
2021-03-06,3
2021-03-08,15
2021-03-10,7
2021-03-12,18
2021-03-15,15
2021-03-17,17
2021-03-18,9
2021-03-23,36
2021-03-24,13
2021-03-25,11
2021-03-26,8
2021-03-29,32
2021-03-30,10
2021-03-31,1
2021-04-02,20
2021-04-05,12
2021-04-07,14
2021-04-08,13
2021-04-09,6
2021-04-12,12
2021-04-13,13
2021-04-14,8
2021-04-16,13
2021-04-19,18
2021-04-20,5
2021-04-22,8
2021-04-26,27
2021-04-27,1
2021-04-29,21
2021-04-30,5
2021-05-03,24
2021-05-04,12
2021-05-05,8
2021-05-06,1
2021-05-07,12
2021-05-08,6
2021-05-10,9
2021-05-11,1
2021-05-12,2
2021-05-13,28
2021-05-14,3
2021-05-17,20
2021-05-18,11
2021-05-20,18
2021-05-21,2
2021-05-24,14
2021-05-26,19
2021-05-27,11
2021-05-28,2
2021-05-31,16
2021-06-01,8
2021-06-03,10
2021-06-04,1
2021-06-08,13
2021-06-10,10
2021-06-14,1
2021-06-15,26
2021-06-16,6
2021-06-18,15
2021-06-21,11
2021-06-22,1
2021-06-23,7
2021-06-24,5
2021-06-25,3
2021-06-28,12
2021-06-29,13
2021-06-30,5
2021-07-01,8
2021-07-02,7
2021-07-05,1
2021-07-06,1
2021-07-07,22
2021-07-08,2
2021-07-09,6
2021-07-12,8
2021-07-13,6
2021-07-14,5
2021-07-15,5
2021-07-16,8
2021-07-20,20
2021-07-21,5
2021-07-22,1
2021-07-23,7
2021-07-26,15
2021-07-28,17
2021-07-30,9
2021-08-02,8
2021-08-03,7
2021-08-04,5
2021-08-05,2
2021-08-06,2
2021-08-09,8
2021-08-10,9
2021-08-12,6
2021-08-13,4
2021-08-16,9
2021-08-17,5
2021-08-19,14
2021-08-20,7
2021-08-23,7
2021-08-25,6
2021-08-26,6
2021-08-27,1
2021-08-30,24
2021-08-31,4
2021-09-01,12
2021-09-02,10
2021-09-04,10
2021-09-06,8
2021-09-07,7
2021-09-09,10
2021-09-10,7
2021-09-13,8
2021-09-14,2
2021-09-15,17
2021-09-16,1
2021-09-17,15
2021-09-18,1
2021-09-20,13
2021-09-22,14
2021-09-23,9
2021-09-24,1
2021-09-27,3
2021-09-29,16
2021-09-30,1
2021-10-01,6
2021-10-02,6
2021-10-04,3
2021-10-05,4
2021-10-06,4
2021-10-07,1
2021-10-08,11
2021-10-11,14
2021-10-12,7
2021-10-13,2
2021-10-14,1
2021-10-15,4
2021-10-18,10
2021-10-19,1
2021-10-20,5
2021-10-21,5
2021-10-23,1
2021-10-25,13
2021-10-26,12
2021-10-27,1
2021-10-29,5
2021-10-30,1
2021-11-01,8
2021-11-02,4
2021-11-03,3
2021-11-04,9
2021-11-05,6
2021-11-08,11
2021-11-09,5
2021-11-10,6
2021-11-11,2
2021-11-13,1
2021-11-15,10
2021-11-16,7
2021-11-17,8
2021-11-18,3
2021-11-19,6
2021-11-20,2
2021-11-21,1
2021-11-22,2
2021-11-23,12
2021-11-24,4
2021-11-26,5
2021-11-29,9
2021-12-01,10
2021-12-02,2
2021-12-03,2
2021-12-04,1
2021-12-06,15
2021-12-07,10
2021-12-08,1
2021-12-09,10
