database,schema,table,role,hour,rows
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,0,9226613
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,1,5187831
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,2,4832714
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,3,3980051
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,4,4782960
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,5,2691155
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,6,1950163
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,7,1172311
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,8,1898356
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,9,336709
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,10,587950
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,11,396882
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,12,218905
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,13,148105
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,14,129839
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,15,136124
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,16,186438
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,17,78306
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,18,80318
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,19,554153
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,20,1064663
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,21,3346018
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,22,11661284
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,23,12778464
Megatron,dbo,Listing,listings_live,0,465282
Megatron,dbo,Listing,listings_live,1,321788
Megatron,dbo,Listing,listings_live,2,334904
Megatron,dbo,Listing,listings_live,3,274298
Megatron,dbo,Listing,listings_live,4,197231
Megatron,dbo,Listing,listings_live,5,142717
Megatron,dbo,Listing,listings_live,6,87894
Megatron,dbo,Listing,listings_live,7,33661
Megatron,dbo,Listing,listings_live,8,85493
Megatron,dbo,Listing,listings_live,9,38412
Megatron,dbo,Listing,listings_live,10,35532
Megatron,dbo,Listing,listings_live,11,33330
Megatron,dbo,Listing,listings_live,12,23177
Megatron,dbo,Listing,listings_live,13,21141
Megatron,dbo,Listing,listings_live,14,21472
Megatron,dbo,Listing,listings_live,15,33468
Megatron,dbo,Listing,listings_live,16,13548
Megatron,dbo,Listing,listings_live,17,6215
Megatron,dbo,Listing,listings_live,18,7089
Megatron,dbo,Listing,listings_live,19,17148
Megatron,dbo,Listing,listings_live,20,36604
Megatron,dbo,Listing,listings_live,21,106577
Megatron,dbo,Listing,listings_live,22,646017
Megatron,dbo,Listing,listings_live,23,608128
RedDawn,dbo,SmartVDPClicks,vdp_clicks,0,143966
RedDawn,dbo,SmartVDPClicks,vdp_clicks,1,126863
RedDawn,dbo,SmartVDPClicks,vdp_clicks,2,146812
RedDawn,dbo,SmartVDPClicks,vdp_clicks,3,180051
RedDawn,dbo,SmartVDPClicks,vdp_clicks,4,232141
RedDawn,dbo,SmartVDPClicks,vdp_clicks,5,264377
RedDawn,dbo,SmartVDPClicks,vdp_clicks,6,285555
RedDawn,dbo,SmartVDPClicks,vdp_clicks,7,303692
RedDawn,dbo,SmartVDPClicks,vdp_clicks,8,312474
RedDawn,dbo,SmartVDPClicks,vdp_clicks,9,319385
RedDawn,dbo,SmartVDPClicks,vdp_clicks,10,336771
RedDawn,dbo,SmartVDPClicks,vdp_clicks,11,356672
RedDawn,dbo,SmartVDPClicks,vdp_clicks,12,371307
RedDawn,dbo,SmartVDPClicks,vdp_clicks,13,383417
RedDawn,dbo,SmartVDPClicks,vdp_clicks,14,416303
RedDawn,dbo,SmartVDPClicks,vdp_clicks,15,439542
RedDawn,dbo,SmartVDPClicks,vdp_clicks,16,488851
RedDawn,dbo,SmartVDPClicks,vdp_clicks,17,530733
RedDawn,dbo,SmartVDPClicks,vdp_clicks,18,554230
RedDawn,dbo,SmartVDPClicks,vdp_clicks,19,479172
RedDawn,dbo,SmartVDPClicks,vdp_clicks,20,370235
RedDawn,dbo,SmartVDPClicks,vdp_clicks,21,281362
RedDawn,dbo,SmartVDPClicks,vdp_clicks,22,180392
RedDawn,dbo,SmartVDPClicks,vdp_clicks,23,157305
WEB,dbo,FEEDADS,feed_ads,0,433325
WEB,dbo,FEEDADS,feed_ads,1,309946
WEB,dbo,FEEDADS,feed_ads,2,332651
WEB,dbo,FEEDADS,feed_ads,3,350128
WEB,dbo,FEEDADS,feed_ads,4,161146
WEB,dbo,FEEDADS,feed_ads,5,135806
WEB,dbo,FEEDADS,feed_ads,6,46778
WEB,dbo,FEEDADS,feed_ads,7,103580
WEB,dbo,FEEDADS,feed_ads,8,38251
WEB,dbo,FEEDADS,feed_ads,9,31026
WEB,dbo,FEEDADS,feed_ads,10,42225
WEB,dbo,FEEDADS,feed_ads,11,39921
WEB,dbo,FEEDADS,feed_ads,12,30864
WEB,dbo,FEEDADS,feed_ads,13,30675
WEB,dbo,FEEDADS,feed_ads,14,38617
WEB,dbo,FEEDADS,feed_ads,15,29891
WEB,dbo,FEEDADS,feed_ads,16,18082
WEB,dbo,FEEDADS,feed_ads,17,15448
WEB,dbo,FEEDADS,feed_ads,18,8632
WEB,dbo,FEEDADS,feed_ads,19,796
WEB,dbo,FEEDADS,feed_ads,20,173283
WEB,dbo,FEEDADS,feed_ads,21,482665
WEB,dbo,FEEDADS,feed_ads,22,718518
WEB,dbo,FEEDADS,feed_ads,23,641108
WEB,dbo,FEEDEXTRAS,feed_extras,0,270370
WEB,dbo,FEEDEXTRAS,feed_extras,1,716
WEB,dbo,FEEDEXTRAS,feed_extras,2,691
WEB,dbo,FEEDEXTRAS,feed_extras,3,564
WEB,dbo,FEEDEXTRAS,feed_extras,4,402
WEB,dbo,FEEDEXTRAS,feed_extras,5,932
WEB,dbo,FEEDEXTRAS,feed_extras,6,980
WEB,dbo,FEEDEXTRAS,feed_extras,7,504
WEB,dbo,FEEDEXTRAS,feed_extras,8,751
