database,schema,table,role,weekday_1is_sun,rows
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,1,9414152
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,2,9762842
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,3,9634746
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,4,9828948
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,5,9582246
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,6,9767810
Megatron,dbo,ListingImageDownload_ReDownload,image_dl_queue,7,9435568
Megatron,dbo,Listing,listings_live,1,393338
Megatron,dbo,Listing,listings_live,2,313771
Megatron,dbo,Listing,listings_live,3,424581
Megatron,dbo,Listing,listings_live,4,629950
Megatron,dbo,Listing,listings_live,5,637693
Megatron,dbo,Listing,listings_live,6,637116
Megatron,dbo,Listing,listings_live,7,554677
Prime,dbo,grail_srpactions_daily,srp_actions_daily,1,5580333
Prime,dbo,grail_srpactions_daily,srp_actions_daily,2,5596746
Prime,dbo,grail_srpactions_daily,srp_actions_daily,3,5563875
Prime,dbo,grail_srpactions_daily,srp_actions_daily,4,5597211
Prime,dbo,grail_srpactions_daily,srp_actions_daily,5,5508966
Prime,dbo,grail_srpactions_daily,srp_actions_daily,6,5470790
Prime,dbo,grail_srpactions_daily,srp_actions_daily,7,5315911
Prime,dbo,DisplayGEO,display_geo,1,6472
Prime,dbo,DisplayGEO,display_geo,2,6580
Prime,dbo,DisplayGEO,display_geo,3,6724
Prime,dbo,DisplayGEO,display_geo,4,7199
Prime,dbo,DisplayGEO,display_geo,5,7805
Prime,dbo,DisplayGEO,display_geo,6,7348
Prime,dbo,DisplayGEO,display_geo,7,6689
RedDawn,dbo,SmartVDPClicks,vdp_clicks,1,1140280
RedDawn,dbo,SmartVDPClicks,vdp_clicks,2,1098570
RedDawn,dbo,SmartVDPClicks,vdp_clicks,3,1094773
RedDawn,dbo,SmartVDPClicks,vdp_clicks,4,1106008
RedDawn,dbo,SmartVDPClicks,vdp_clicks,5,1126548
RedDawn,dbo,SmartVDPClicks,vdp_clicks,6,1091133
RedDawn,dbo,SmartVDPClicks,vdp_clicks,7,1004296
WEB,dbo,FEEDADS,feed_ads,1,425809
WEB,dbo,FEEDADS,feed_ads,2,348322
WEB,dbo,FEEDADS,feed_ads,3,546116
WEB,dbo,FEEDADS,feed_ads,4,718853
WEB,dbo,FEEDADS,feed_ads,5,735815
WEB,dbo,FEEDADS,feed_ads,6,798792
WEB,dbo,FEEDADS,feed_ads,7,639655
WEB,dbo,FEEDEXTRAS,feed_extras,1,7739
WEB,dbo,FEEDEXTRAS,feed_extras,2,47536
WEB,dbo,FEEDEXTRAS,feed_extras,3,52050
WEB,dbo,FEEDEXTRAS,feed_extras,4,53118
WEB,dbo,FEEDEXTRAS,feed_extras,5,51643
WEB,dbo,FEEDEXTRAS,feed_extras,6,52989
WEB,dbo,FEEDEXTRAS,feed_extras,7,26471
Megatron,dbo,PhyronVideos,phyron_videos,1,7777
Megatron,dbo,PhyronVideos,phyron_videos,2,8304
Megatron,dbo,PhyronVideos,phyron_videos,3,6304
Megatron,dbo,PhyronVideos,phyron_videos,4,27924
Megatron,dbo,PhyronVideos,phyron_videos,5,25804
Megatron,dbo,PhyronVideos,phyron_videos,6,20620
Megatron,dbo,PhyronVideos,phyron_videos,7,9322
Megatron,dbo,ActivityLog,META_activity,1,654671
Megatron,dbo,ActivityLog,META_activity,2,669787
Megatron,dbo,ActivityLog,META_activity,3,676668
Megatron,dbo,ActivityLog,META_activity,4,671347
Megatron,dbo,ActivityLog,META_activity,5,683802
Megatron,dbo,ActivityLog,META_activity,6,696297
Megatron,dbo,ActivityLog,META_activity,7,663629
Megatron,dbo,FileDetails_Log,META_file_ingest,1,10433
Megatron,dbo,FileDetails_Log,META_file_ingest,2,10458
Megatron,dbo,FileDetails_Log,META_file_ingest,3,10446
Megatron,dbo,FileDetails_Log,META_file_ingest,4,10436
Megatron,dbo,FileDetails_Log,META_file_ingest,5,10366
Megatron,dbo,FileDetails_Log,META_file_ingest,6,10715
Megatron,dbo,FileDetails_Log,META_file_ingest,7,10452
Megatron,dbo,BackupLog,META_backups,1,33327
Megatron,dbo,BackupLog,META_backups,2,33893
Megatron,dbo,BackupLog,META_backups,3,34868
Megatron,dbo,BackupLog,META_backups,4,34168
Megatron,dbo,BackupLog,META_backups,5,34695
Megatron,dbo,BackupLog,META_backups,6,34339
Megatron,dbo,BackupLog,META_backups,7,33421
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,1,20646988
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,2,20523672
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,3,20855088
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,4,21204285
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,5,21916039
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,6,21077036
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,7,20874872
