program,samples,distinct_logins,distinct_hosts,first_seen,last_seen
jTDS,1516791,2,122,2025-06-26 09:47:34.243333,2026-06-14 13:15:00.536666
Core Microsoft SqlClient Data Provider,1250948,2,384,2025-06-26 09:47:34.243333,2026-06-14 13:15:00.536666
Core .Net SqlClient Data Provider,468765,2,61,2025-06-26 09:47:34.243333,2026-06-14 13:15:00.536666
Managed Backup,388034,2,2,2025-06-26 09:47:34.243333,2026-06-14 13:15:00.536666
Microsoft SQL Server Management Studio - Query,279096,4,12,2025-06-26 09:47:34.243333,2026-06-14 13:15:00.536666
.Net SqlClient Data Provider,217506,2,4,2025-06-26 09:47:34.243333,2026-06-14 13:15:00.536666
Microsoft SQL Server IaaS Agent Query Service,101757,1,2,2025-06-26 09:47:34.243333,2026-06-14 13:15:00.536666
Microsoft SQL Server Management Studio,46485,3,10,2025-06-26 09:47:34.243333,2026-06-05 13:45:00.680000
node-mssql,37385,3,81,2025-06-26 10:00:00.756666,2026-06-14 13:15:00.536666
SQLAgent - Job invocation engine,33847,1,2,2025-06-26 09:47:34.243333,2026-06-14 13:15:00.536666
SQLAgent - Email Logger,33847,1,2,2025-06-26 09:47:34.243333,2026-06-14 13:15:00.536666
SQLAgent - Generic Refresher,33847,1,2,2025-06-26 09:47:34.243333,2026-06-14 13:15:00.536666
SQLServerCEIP,32196,1,2,2025-06-26 09:47:34.243333,2026-06-14 13:15:00.536666
SQLAgent - TSQL JobStep (Job 0xB993ABE7560C8740BDBBC96199011A16 : Step 1),17817,2,1,2025-09-20 17:15:00.730000,2026-06-14 13:15:00.536666
SQLAgent - TSQL JobStep (Job 0x2D08B5459F108C45A6E2A95C37A113DF : Step 1),17738,2,1,2025-09-20 17:15:00.730000,2026-06-14 13:15:00.536666
SQLAgent - Job Manager,16583,2,2,2025-06-26 10:00:00.756666,2026-06-14 13:00:00.870000
SQLAgent - TSQL JobStep (Job 0xC7BEB2783E3C0C4CAB743C23F09C023F : Step 1),12558,2,1,2025-09-20 17:30:00.186666,2026-06-14 13:00:00.870000
SQLAgent - TSQL JobStep (Job 0xC6694F89C4C5444D937BFDE2FC38B65B : Step 1),12280,2,1,2025-09-20 17:30:00.186666,2026-06-14 13:00:00.870000
Framework Microsoft SqlClient Data Provider,11146,2,3,2025-10-24 12:15:00.530000,2026-06-14 10:00:01.003333
Microsoft SQL Server Management Studio - GitHub Copilot,7720,1,2,2026-01-12 13:15:00.156666,2026-04-17 15:15:00.963333
SQL Server Management Studio,7364,2,5,2026-01-15 10:00:00.156666,2026-06-14 05:15:00.203333
SQLAgent - TSQL JobStep (Job 0xF294EDDE467AC442B98E971533DA29D1 : Step 1),5793,2,1,2025-09-20 18:00:00.560000,2026-06-14 13:00:00.870000
SQLAgent - TSQL JobStep (Job 0xC15F6E1D5C4D9D469A24E2CAC603A8C0 : Step 1),5709,3,1,2025-09-20 17:30:00.186666,2026-06-14 12:30:01.013333
SQLAgent - TSQL JobStep (Job 0xED1FBCBB6D5E7F44BB5E91951EEF0F3C : Step 1),5705,2,1,2025-06-26 10:00:00.756666,2025-09-20 07:45:00.230000
SQLAgent - TSQL JobStep (Job 0xEDB467541F60A84BB7F1C22AC9A91801 : Step 1),5634,2,1,2025-06-26 10:00:00.756666,2025-09-20 07:45:00.230000
