date,samples,distinct_sessions,sum_cpu_ms,sum_logical_reads
2025-06-26,10106,214,1591550457,691925816447
2025-06-27,14727,191,3660473189,1625247793333
2025-06-28,12554,184,1714779643,832112081256
2025-06-29,12648,117,665091262,281293839947
2025-06-30,13779,139,907131970,351032886080
2025-07-01,14468,184,1483568068,592089543072
2025-07-02,15374,194,1896134554,778080053059
2025-07-03,14784,201,448496735,181860371938
2025-07-04,13119,122,602547121,246591138397
2025-07-05,12854,185,668353366,248115920487
2025-07-06,14010,191,936363542,339362596715
2025-07-07,13626,178,764418728,312312421112
2025-07-08,13767,166,714163551,287731326900
2025-07-09,14413,210,1145726249,448829387398
2025-07-10,16380,216,1157637081,449364833242
2025-07-11,14755,176,1590585036,781391380632
2025-07-12,14908,155,949826354,403394290800
2025-07-13,14977,206,1728924455,735228045050
2025-07-14,15841,208,1823434628,726432176073
2025-07-15,14376,133,1318232058,603874132764
2025-07-16,12594,132,767014702,315632826901
2025-07-17,10946,106,709071063,284892215844
2025-07-18,13023,205,1800679931,798597817451
2025-07-19,12219,200,2165745079,966955479433
2025-07-20,13052,190,635407813,291025992217
2025-07-21,12864,203,1143620113,499363668050
2025-07-22,11855,136,2148660340,977521486531
2025-07-23,11905,121,3397873789,1568234193408
2025-07-24,11984,122,934098115,380067375136
2025-07-25,12630,119,2024592900,940947535169
2025-07-26,12355,114,3297299995,1548237494224
2025-07-27,12255,121,4379976312,2024415912310
2025-07-28,12692,123,714343643,296909673606
2025-07-29,12915,125,1959216742,868826897483
2025-07-30,13014,131,3075817757,1404796276405
2025-07-31,12937,159,3966709166,1861244897999
2025-08-01,13067,128,5112553227,2397972937661
2025-08-02,13086,120,1720096441,668477300448
2025-08-03,12935,121,2228743426,941744681236
2025-08-04,13412,196,3237347037,1409996705058
2025-08-05,13449,133,3166939199,1538619177529
2025-08-06,13460,122,4150982348,1988309570237
2025-08-07,12974,133,2572224108,1188001520212
2025-08-08,13392,133,1555028219,650219398964
2025-08-09,13427,138,2465360220,1048847000981
2025-08-10,14694,203,1947971420,746847890472
2025-08-11,13685,126,1256870728,523970825085
2025-08-12,13760,149,2241129163,994739064371
2025-08-13,13546,130,2221721959,929765845898
2025-08-14,14002,138,1421908485,515744953553
2025-08-15,14091,145,2174897572,815425124100
2025-08-16,13478,134,1735260100,584020963306
2025-08-17,13293,133,2527440396,925378755976
2025-08-18,13151,207,1470148469,534589031203
2025-08-19,13367,125,1860301721,711264154704
2025-08-20,12797,118,2209375106,845251336453
2025-08-21,12235,166,1119641238,454738223945
2025-08-22,13127,131,993827038,359574091667
2025-08-23,12067,130,783833689,230059266519
2025-08-24,11731,126,1178957146,389434929583
2025-08-25,12424,129,1055571110,291165636357
2025-08-26,12612,121,1310395090,393332639354
2025-08-27,13364,140,1439071598,599114830025
2025-08-28,13811,128,697809566,221901766470
2025-08-29,14286,136,1137477772,385886197089
2025-08-30,12643,128,1826443392,636757691727
2025-08-31,12148,144,1132364308,326437329751
2025-09-01,12744,161,1973118861,668653411533
2025-09-02,13683,130,1987793856,718947393939
2025-09-03,13781,145,823170182,226425429352
2025-09-04,13721,134,786325744,215056084782
2025-09-05,13405,128,2107776114,677596824454
2025-09-06,13037,175,2792492999,899355680797
2025-09-07,12267,167,1222391327,323376766417
2025-09-08,13136,149,762165102,192769759781
2025-09-09,13880,131,545681963,101586548884
2025-09-10,14320,138,743605160,143963402913
2025-09-11,14094,168,874277174,174613435449
2025-09-12,14182,199,961536264,202997952630
2025-09-13,12323,125,1012845718,256226557918
2025-09-14,12723,196,815910546,178219152869
2025-09-15,13317,163,1149113620,274105108479
2025-09-16,12788,121,1040716156,209059477605
2025-09-17,12365,118,453567450,56317852052
2025-09-18,11980,187,396637575,87762319338
2025-09-19,11747,122,537248287,121633444975
2025-09-20,7246,121,234080520,53705633982
2025-09-21,11495,125,347634328,111296762182
2025-09-22,11547,158,594353730,189621537604
2025-09-23,11473,183,856087290,279197407458
2025-09-24,12374,188,671518764,254466979724
2025-09-25,11933,117,413121176,123109048579
2025-09-26,11952,115,672957620,196005868738
2025-09-27,11749,131,1019553247,297025933377
2025-09-28,11982,187,540676967,115622555417
2025-09-29,11529,115,424286512,91439669111
2025-09-30,13060,182,522339813,124399367433
2025-10-01,13659,127,638997616,152227458859
2025-10-02,12942,124,383177224,89996767811
2025-10-03,13169,193,312323748,57332448862
2025-10-04,11483,133,293173610,33977610394
2025-10-05,11408,110,333192493,38630680135
2025-10-06,11896,111,347452116,68967696286
2025-10-07,14799,193,341889368,51044384439
2025-10-08,17033,177,444505801,55373278650
2025-10-09,17659,183,392790110,37609401430
2025-10-10,16550,220,270826469,29116908942
2025-10-11,16040,151,312227566,82414716778
2025-10-12,15085,155,209204334,31839025951
