program,running_samples,avg_elapsed_ms,max_elapsed_ms
Core Microsoft SqlClient Data Provider,9213,8065,1243345
SQLAgent - TSQL JobStep (Job 0x2D08B5459F108C45A6E2A95C37A113DF : Step 1),5843,0,1
SQLAgent - TSQL JobStep (Job 0xB993ABE7560C8740BDBBC96199011A16 : Step 1),5788,0,8
jTDS,4753,24062001,95866767
SQLAgent - TSQL JobStep (Job 0xC7BEB2783E3C0C4CAB743C23F09C023F : Step 1),4120,0,2
SQLAgent - TSQL JobStep (Job 0xC6694F89C4C5444D937BFDE2FC38B65B : Step 1),4023,0,4
SQLAgent - TSQL JobStep (Job 0x99557972CB63D14F931366F2A7066E9B : Step 1),1986,0,2
SQLAgent - TSQL JobStep (Job 0xF294EDDE467AC442B98E971533DA29D1 : Step 1),1907,0,1
SQLAgent - TSQL JobStep (Job 0xC15F6E1D5C4D9D469A24E2CAC603A8C0 : Step 1),1855,0,1
SQLAgent - Job Manager,1434,8,135
SQLAgent - TSQL JobStep (Job 0x8535B076B9D9FF44A581CABDC1466AC6 : Step 1),1374,0,1
SQLAgent - TSQL JobStep (Job 0xFB70FF8885115E4DABCAA295FB0C1066 : Step 1),1315,0,1
SQLAgent - TSQL JobStep (Job 0xB464BFC69721D2439B296182A3251EFC : Step 1),776,0,1
SQLAgent - TSQL JobStep (Job 0x9F53E6143920BF46B45D031C4A2D1B4D : Step 1),456,0,1
SQLAgent - TSQL JobStep (Job 0xFA3E55BF7EC1764B854BE43941001D07 : Step 1),257,0,0
SQLAgent - TSQL JobStep (Job 0x8535B076B9D9FF44A581CABDC1466AC6 : Step 3),196,0,0
SQLAgent - TSQL JobStep (Job 0xF789A096E968884E88F520ADFAE601C0 : Step 1),169,0,1
SQLAgent - Update job activity,161,0,1
Managed Backup,138,2630,12829
SQLAgent - TSQL JobStep (Job 0x7764D64A173D814BB42E329CFCB4C5BA : Step 1),90,0,0
SQLAgent - TSQL JobStep (Job 0xC233FA8D8BCF6B4C881AF870F5273E39 : Step 1),90,0,0
SQLAgent - TSQL JobStep (Job 0xB7B93A5E54A2304C80A8966BA473AEDB : Step 1),90,0,0
SQLAgent - TSQL JobStep (Job 0x3D677AEA4FC9C7449501AAFE5C165632 : Step 1),83,0,0
SQLAgent - TSQL JobStep (Job 0x06BC2CA6DD572240A9616FD452C51F3A : Step 1),76,0,0
SQLAgent - TSQL JobStep (Job 0xFA99F1607ED3F0499D8B152314E4729C : Step 1),76,0,0
