database,schema,table,row_count,total_mb,used_mb
DataStaging,CDXP,JuiceReporting_HiddenTable_MarketingSummary,118073500,48476.945312,48466.500000
DataStaging,MLdata,grail_srpactions_daily,98852570,3543.273437,3542.750000
DataStaging,core,Stage_SurveyHistory,82826920,2853.648437,2853.500000
DataStaging,core,Stage_Surveys,78577255,15746.179687,15746.031250
DataStaging,RLData,lead_history,66995841,16669.132812,16665.320312
DataStaging,core,Stage_Txns,55184247,2331.375000,2331.210937
DataStaging,CDXP,JuiceReporting_Marketing_Summary,49152011,11973.421875,11972.406250
DataStaging,MLdata,PlatformAuto_Stats,31776870,3450.382812,3450.234375
DataStaging,CDXP,JuiceReporting_LeadPerformance_LeadSourceIndex,25446714,13753.570312,13752.242187
DataStaging,Google,VehicleDataFile,21202024,6642.867187,6637.156250
DataStaging,MLdata,GVAVDPDatav2,15860196,2724.351562,2724.195312
DataStaging,CDXP,JuiceReporting_CDXPTransactionsOverview,15635367,5549.164062,5548.906250
DataStaging,CDXP,mv_contact_stats,15394147,15501.492187,15499.937500
DataStaging,core,Stage_Review,14628458,14054.250000,14053.976562
DataStaging,CDXP,JuiceReporting_BlueSky_ServicePerf_V2,13262840,1614.281250,1613.976562
DataStaging,CDXP,JuiceReporting_BlueSkyOverview,13262840,13944.523437,13942.773437
DataStaging,CDXP,JuiceReporting_LeadPerformance,13225622,3563.289062,3563.187500
DataStaging,MLdata,VehiclePerformanceDailyV2,12607521,2065.851562,2065.132812
DataStaging,MLdata,VehiclePerformanceDaily,12500142,2045.109375,2044.664062
DataStaging,CDXP,JuiceReporting_BlueSkyOverview_v2,10779160,812.578125,812.421875
DataStaging,CDXP,JuiceReporting_CDXPCustomers,9720022,4537.546875,4537.390625
DataStaging,CDXP,JuiceReporting_RecipientLoss,8661265,1548.078125,1547.882812
DataStaging,RLData,smart_quote,8475447,7439.265625,7439.242187
DataStaging,CDXP,JuiceReporting_BlueSkyServicePerformance,8095604,4778.804687,4778.007812
DataStaging,MLdata,FEEDADS,8030440,33906.757812,33904.492187
DataStaging,MLdata,ListingVehicle,7815616,2321.242187,2321.171875
DataStaging,CDXP,JuiceReporting_TRANSACTION_SUMMARY,7790566,799.453125,799.242187
DataStaging,MLdata,Listing,7428822,23244.578125,23243.093750
DataStaging,core,Stage_SurveyResponse,7357723,2086.976562,2086.664062
