database,schema,table,column,data_type
DataStaging,AI,Log_Questions,QuestionDate,datetime
DataStaging,CDXP,ClientDetails,AccessTokenExpiryDate,datetime
DataStaging,CDXP,ClientDetails,CreateDate,datetime
DataStaging,CDXP,ClientDetails,ModifyDate,datetime
DataStaging,CDXP,JuiceReporting_BlueSky_ServicePerf_V2,LastServiceDate,date
DataStaging,CDXP,JuiceReporting_BlueSkyOverview,ContractEndDate,date
DataStaging,CDXP,JuiceReporting_BlueSkyOverview,LastActivityDate,date
DataStaging,CDXP,JuiceReporting_BlueSkyOverview,LastClickDate,date
DataStaging,CDXP,JuiceReporting_BlueSkyOverview,LastOpenDate,datetime
DataStaging,CDXP,JuiceReporting_BlueSkyOverview,LastServiceDate,date
DataStaging,CDXP,JuiceReporting_BlueSkyOverview,LastSoldDate,date
DataStaging,CDXP,JuiceReporting_BlueSkyOverview,LastTransactionDate,date
DataStaging,CDXP,JuiceReporting_BlueSkyOverview,LeadCreateDate,date
DataStaging,CDXP,JuiceReporting_BlueSkyOverview,LeaseEndDate,date
DataStaging,CDXP,JuiceReporting_BlueSkyOverview,Live_Date,date
DataStaging,CDXP,JuiceReporting_BlueSkyOverview,NextServiceDate,date
DataStaging,CDXP,JuiceReporting_BlueSkyOverview,SaleDate,date
DataStaging,CDXP,JuiceReporting_BlueSkyOverview,Sales_Last_Date,date
DataStaging,CDXP,JuiceReporting_BlueSkyOverview,Sales_Last_LeaseEndDate,date
DataStaging,CDXP,JuiceReporting_BlueSkyOverview,Service_Last_Date,date
DataStaging,CDXP,JuiceReporting_BlueSkyOverview,Service_Last_DeclinedDate,datetime
DataStaging,CDXP,JuiceReporting_BlueSkyOverview,VehicleSoldDate,date
DataStaging,CDXP,JuiceReporting_BlueSkyOverview,WarrantyEndDate,date
DataStaging,CDXP,JuiceReporting_BlueSkyOverview_v2,TransactionDate,datetime
DataStaging,CDXP,JuiceReporting_BlueSkyRecommendations,ClickDate,date
DataStaging,CDXP,JuiceReporting_BlueSkyRecommendations,DeclinedServiceDate,datetime
DataStaging,CDXP,JuiceReporting_BlueSkyRecommendations,LastServiceDate,date
DataStaging,CDXP,JuiceReporting_BlueSkyRecommendations,OpenDate,date
DataStaging,CDXP,JuiceReporting_BlueSkyRecommendations,RoDate,datetime
DataStaging,CDXP,JuiceReporting_BlueSkyRecommendations,ScheduledServiceDate,date
DataStaging,CDXP,JuiceReporting_BlueSkyRecommendations,SoldDate,datetime
DataStaging,CDXP,JuiceReporting_BlueSkyRecommendations,TransactionDate,date
DataStaging,CDXP,JuiceReporting_BlueSkyRecommendations,UnsubscribeDate,date
DataStaging,CDXP,JuiceReporting_BlueSkyServicePerformance,BirthDate,date
