database,schema,table,ts_column,row_count,total_mb,min_ts,max_ts,non_null_count,query_seconds
DataStaging,CDXP,JuiceReporting_HiddenTable_MarketingSummary,ClickDate,118073500,48476.945312,2024-06-14,2026-06-13,1420842,65.12
DataStaging,MLdata,grail_srpactions_daily,event_date,98852570,3543.273437,2019-01-01,2026-06-12,98852570,4.23
DataStaging,core,Stage_SurveyHistory,ActionTime,82826920,2853.648437,2015-06-30 11:02:02,2026-06-13 23:26:42.330000,82826920,3.81
DataStaging,core,Stage_Surveys,SentDate,78577255,15746.179687,2014-06-01 01:34:25.333000,2026-06-13 21:58:07.727000,78577255,5.54
DataStaging,RLData,lead_history,created_date,66995841,16669.132812,2024-08-21 07:38:00.800000,2026-06-14 00:16:40.200000,66995841,21.28
DataStaging,core,Stage_Txns,CreatedDate,55184247,2331.375,2024-12-15 06:00:35.007000,2026-06-14 06:59:48.380000,55184247,3.01
DataStaging,CDXP,JuiceReporting_Marketing_Summary,CampaignEndDate,49152011,11973.421875,2024-06-14,2026-06-12,49152011,15.68
DataStaging,CDXP,JuiceReporting_LeadPerformance_LeadSourceIndex,InsertDate,25446714,13753.570312,2026-06-14 02:00:07.560000,2026-06-14 03:13:27.747000,25446714,17.7
DataStaging,CDXP,JuiceReporting_CDXPTransactionsOverview,ClickDate,15635367,5549.164062,2023-05-22 00:00:00,2026-06-14 03:21:11.668846,310738,7.21
DataStaging,CDXP,mv_contact_stats,campaign_date,15394147,15501.492187,2021-10-23 00:00:00,2026-06-13 00:00:00,15394147,20.29
DataStaging,core,Stage_Review,Created,14628458,14054.25,2015-04-05 06:48:30,2026-06-14 07:27:12.430000,14628458,0.82
DataStaging,CDXP,JuiceReporting_BlueSky_ServicePerf_V2,LastServiceDate,13262840,1614.28125,2012-01-03,2026-06-12,6816753,2.07
DataStaging,CDXP,JuiceReporting_BlueSkyOverview,LeadCreateDate,13262840,13944.523437,2025-04-13,2026-06-13,1546150,18.25
DataStaging,CDXP,JuiceReporting_LeadPerformance,LeadCreateDate,13225622,3563.289062,2025-04-12,2026-06-12,1541351,4.61
DataStaging,MLdata,VehiclePerformanceDailyV2,campaign_date,12607521,2065.851562,2025-05-08,2026-05-07,12607521,2.66
DataStaging,MLdata,VehiclePerformanceDaily,campaign_date,12500142,2045.109375,2025-06-14,2026-06-13,12500142,0.54
DataStaging,CDXP,JuiceReporting_BlueSkyOverview_v2,TransactionDate,10779160,812.578125,2022-01-01 00:00:00,2028-07-12 00:00:00,10779160,1.02
DataStaging,CDXP,JuiceReporting_CDXPCustomers,ClickDate,9720022,4537.546875,2026-05-14,2026-06-13,272595,5.46
DataStaging,RLData,smart_quote,created_date,8475447,7439.265625,2022-01-01 00:59:04.237000,2026-06-14 00:07:44.960000,8475447,9.56
DataStaging,CDXP,JuiceReporting_BlueSkyServicePerformance,BirthDate,8095604,4778.804687,1885-01-01,2009-10-16,1221579,6.4
DataStaging,MLdata,FEEDADS,faCREATED,8030440,33906.757812,2020-04-20 09:55:00,2026-06-14 01:40:00,8030440,39.0
DataStaging,CDXP,JuiceReporting_TRANSACTION_SUMMARY,InsertDate,7790566,799.453125,2026-06-13 23:49:34.707000,2026-06-13 23:50:42.110000,7790566,1.01
DataStaging,MLdata,Listing,lst_Created,7428822,23244.578125,2009-12-07 17:25:05.843000,2026-06-14 00:37:51.507000,7428822,29.19
DataStaging,core,Stage_SurveyResponse,PublicationDate,7357723,2086.976562,2014-06-10 09:43:28,2026-06-14 06:26:42.290000,6296737,2.7
DataStaging,CDXP,JuiceReporting_BlueSkyRecommendations,ClickDate,6666942,2882.179687,2026-05-14,2026-06-13,49684,3.76
DataStaging,CDXP,JuiceReporting_BSR_equity,LastServiceDate,6063697,1816.578125,2012-01-03 00:00:00,2026-06-12 00:00:00,2944606,2.35
DataStaging,CDXP,JuiceReporting_DataMiningTool,LeadCreateDate,4706750,1616.703125,1930-01-11,2026-06-13,3341213,2.15
DataStaging,MLdata,Display,dis_Date,3917269,518.578125,2017-01-01,2026-06-12,3917269,0.3
DataStaging,RLData,lead,created_date,3719180,4432.34375,2025-06-13 00:00:02.377000,2026-06-14 00:01:38.890000,3719180,5.69
DataStaging,LVData,youtube_videos,created_at,2981115,1263.3125,2012-05-17 20:21:29,2026-06-14 06:20:24,2980985,1.05
DataStaging,MLdata,Account,acc_Created,2082770,496.953125,1973-05-30 00:00:00,2026-06-12 17:18:55.933000,2082770,0.61
DataStaging,RLData,reactivation,created_date,1420146,743.59375,2012-01-01 00:16:02.977000,2026-06-13 23:10:00.433000,1420146,0.95
DataStaging,CDXP,JuiceReporting_Marketing_Summary_Contact_eng,CampaignEndDate,1131789,386.015625,2022-01-25,2026-06-12,1131789,0.54
DataStaging,Google,DealershipDataFile,DateWeek,1046409,306.351562,2023-02-27 00:00:00,2024-01-22 00:00:00,1377,0.83
