database,schema,table,row_count,total_mb,used_mb
oltp,dbo,txn,345280665,11863.343750,11861.867187
oltp,dbo,lead_history,67049656,16755.726562,16748.742187
oltp,dbo,franchise_consumer_txn,57318210,8198.656250,8197.562500
oltp,dbo,franchise_consumer,50884289,21461.281250,21458.640625
oltp,dbo,smart_quote_vehicle,42161201,2557.968750,2557.609375
oltp,dbo,rl_lead_history_report_data,39895336,2058.414062,2058.250000
oltp,dbo,franchise_consumer_alias,33513387,6898.164062,6896.132812
oltp,dbo,franchise_consumer_vehicle,29243259,11995.593750,11993.132812
oltp,dbo,mailbox,19600853,11012.343750,11010.476562
oltp,dbo,customer_billing_group_invoice_detail,11207194,3354.648437,3354.125000
oltp,dbo,smart_quote,8480570,7468.531250,7467.445312
oltp,dbo,franchise_vehicle_pricing_2,7926760,1562.718750,1560.562500
oltp,dbo,lead_sms_history,7288306,2985.406250,2985.007812
oltp,dbo,rl_performance_report_data,4091872,652.640625,652.617187
oltp,dbo,lead,3715445,5038.476562,5017.031250
oltp,dbo,vehicle_option,3374626,585.054687,556.101562
oltp,dbo,cdr,3040765,3402.234375,3402.093750
oltp,dbo,franchise_campaign_email_template_param,2751909,469.781250,468.445312
oltp,dbo,franchise_vehicle,2200459,577.406250,575.218750
oltp,dbo,process_log_20260606T23,1815919,484.632812,484.570312
oltp,dbo,process_log_20260530T23,1815153,481.679687,481.601562
oltp,dbo,process_log_20260613T23,1807280,481.851562,481.820312
oltp,dbo,process_log_20260502T23,1780669,496.656250,496.601562
oltp,dbo,process_log_20260425T23,1765583,497.039062,497.023437
oltp,dbo,process_log_20260516T23,1764716,478.289062,478.187500
oltp,dbo,process_log_20260509T23,1711840,456.414062,456.312500
oltp,dbo,process_log_20260418T23,1710778,481.726562,481.718750
oltp,dbo,process_log_20260411T23,1699959,465.398437,465.343750
oltp,dbo,process_log_20260404T23,1672445,462.695312,462.664062
oltp,dbo,process_log_20260523T23,1656426,437.929687,437.882812
oltp,dbo,reactivation,1420213,747.281250,746.140625
oltp,dbo,customer_inventory_calculated,1415688,804.281250,671.546875
oltp,dbo,franchise_vehicle_test,1172005,315.328125,315.250000
oltp,dbo,franchise_smart_facts,1147405,178.210937,177.500000
oltp,dbo,franchise_performance_report,1089804,179.015625,178.914062
oltp,dbo,vehicle_image_trim,973625,22.148437,20.523437
oltp,dbo,smart_follow_performance_report,880439,124.648437,123.484375
oltp,dbo,smart_follow_individual_contact_analysis_by_email_name_report,818094,118.171875,118.109375
oltp,dbo,smart_start_performance_report,744054,41.945312,41.851562
oltp,dbo,process_log,653907,174.656250,174.546875
oltp,dbo,franchise_email_template_param,617857,92.585937,90.796875
oltp,dbo,SystemLog,513998,46.867187,45.273437
oltp,dbo,smart_facts_report_data,499872,84.007812,83.960937
oltp,dbo,oem_vehicle_locator_subregion,484332,225.882812,225.828125
oltp,dbo,vehicle_safety_data,385874,23.148437,21.789062
oltp,dbo,consumer,370048,23.460937,22.734375
oltp,dbo,franchise_inventory_pricing,354318,71.195312,69.992187
oltp,dbo,franchise_smart_follow_v3_schedule,346860,25.312500,24.500000
oltp,dbo,smart_follow_performance_by_state_make_report,302138,40.390625,40.351562
oltp,dbo,consumer_subscription_history,278918,59.906250,58.625000
oltp,dbo,ou_audit_trail,273015,43.578125,41.960937
oltp,dbo,oem_vehicle_locator_search_key_subregion,253676,120.671875,120.460937
oltp,dbo,vehicle_image,216706,22.218750,20.882812
oltp,dbo,D1TrimUpdate,211987,16.468750,13.968750
oltp,dbo,customer_inventory_calculated_ex,207618,42.320312,42.304687
oltp,dbo,ou_vehicle_audit_trail,177762,22.156250,22.031250
oltp,dbo,parse_crm_response_item_expression,176109,19.562500,17.585937
oltp,dbo,parse_lead_item_expression,175145,19.710937,19.406250
oltp,dbo,dealer_sf,156686,28.648437,28.625000
oltp,dbo,vehicle_vin_reference,155428,10.726562,8.015625
oltp,dbo,ProcsInUse,151798,8.562500,7.710937
oltp,dbo,franchise_campaign_action,138928,17.101562,15.710937
oltp,dbo,franchise_campaign_email,138249,16.570312,14.421875
oltp,dbo,AIS_VehicleGroups,136605,16.890625,16.875000
oltp,dbo,ou,129903,4.046875,2.992187
oltp,dbo,franchise_campaign_email_template_item,115065,14.320312,12.132812
oltp,dbo,D1Trim,111462,12.265625,11.789062
