database,schema,table,column,data_type
oltp,Cleanup,IndexFragmentation,TimeStamp,datetime
oltp,dbo,_FOR_DELETE_campaign_txn,last_updated_date,datetime
oltp,dbo,_FOR_DELETE_franchise_consumer_txn_tracking,activation_date,datetime
oltp,dbo,_FOR_DELETE_franchise_consumer_txn_tracking,created_date,datetime
oltp,dbo,_FOR_DELETE_SFMirrorProduct2,CreatedDate,datetime
oltp,dbo,_FOR_DELETE_SFMirrorProduct2,LastModifiedDate,datetime
oltp,dbo,_FOR_DELETE_smart_quote_override,action_time,datetime
oltp,dbo,_FOR_DELETE_smart_quote_override,created_date,datetime
oltp,dbo,announcement,created_date,datetime
oltp,dbo,announcement,expiration_date,datetime
oltp,dbo,AzureStorageWriteJournal,Created,datetime
oltp,dbo,bmw_dealer_map,created_date,datetime
oltp,dbo,bmw_dealer_map,last_updated_date,datetime
oltp,dbo,cache_campaign_action,created_date,datetime
oltp,dbo,cache_campaign_action,lead_date,datetime
oltp,dbo,cdr,calldate,datetime
oltp,dbo,ChatStatistics,lead_date,datetime
oltp,dbo,ChatStatistics,processingTime,datetime
oltp,dbo,ChatStatistics,reviewingTime,datetime
oltp,dbo,consumer,created_date,datetime
oltp,dbo,consumer_subscription_history,created_date,datetime
oltp,dbo,consumer_subscription_history,history_date,datetime
oltp,dbo,contact,created_date,datetime
oltp,dbo,customer,last_updated_date,datetime
oltp,dbo,customer_billing_group_invoice,created_date,datetime
oltp,dbo,customer_billing_group_invoice_detail,txn_date,datetime
oltp,dbo,customer_contact,created_date,datetime
oltp,dbo,customer_group_contact,created_date,datetime
oltp,dbo,customer_group_contact,last_updated_date,datetime
oltp,dbo,customer_inventory_calculated,cash_back_expiration_date,datetime
oltp,dbo,customer_inventory_calculated,created_date,datetime
oltp,dbo,customer_inventory_calculated,date_in_stock,datetime
oltp,dbo,customer_inventory_calculated,incentive_expiration_date,datetime
oltp,dbo,customer_inventory_calculated,last_updated_date,datetime
oltp,dbo,customer_inventory_calculated_ex,created_date,datetime
oltp,dbo,customer_inventory_calculated_ex,date_in_stock,datetime
oltp,dbo,customer_inventory_calculated_ex,last_updated_date,datetime
oltp,dbo,customer_inventory_copy,created_date,datetime
oltp,dbo,customer_inventory_copy,last_updated_date,datetime
oltp,dbo,customer_inventory_source,created_date,datetime
oltp,dbo,customer_inventory_source,last_updated_date,datetime
oltp,dbo,customer_inventory_source_map,date_added,datetime
oltp,dbo,customer_rapid_touch,cancellation_effective_date,datetime
oltp,dbo,customer_rapid_touch,cancellation_request_date,datetime
oltp,dbo,customer_rapid_touch,created_date,datetime
oltp,dbo,customer_rapid_touch,free_phone_calls_effective_date,datetime
oltp,dbo,customer_rapid_touch,free_phone_calls_expiration_date,datetime
oltp,dbo,customer_rapid_touch,last_updated_date,datetime
oltp,dbo,customer_rapid_touch_up_schedule,created_date,datetime
oltp,dbo,customer_rapid_touch_up_schedule,end_time,datetime
oltp,dbo,customer_rapid_touch_up_schedule,last_updated_date,datetime
oltp,dbo,customer_rapid_touch_up_schedule,start_time,datetime
oltp,dbo,D1Trim,Created,datetime
oltp,dbo,D1Trim,Updated,datetime
oltp,dbo,D1TrimUpdate,Created,datetime
oltp,dbo,dealer_daily_incentive_rollup,incentive_expiration_date,datetime
oltp,dbo,dealer_daily_model,created_date,datetime
oltp,dbo,dealer_daily_vehicle,created_date,datetime
oltp,dbo,dealer_daily_vehicle,incentive_expiration_date,datetime
oltp,dbo,dealer_sf,dealer_last_updated_date,datetime
oltp,dbo,dealer_sf,last_updated_date,datetime
oltp,dbo,dynamic_view_sys,last_updated_date,datetime
oltp,dbo,email_template,last_updated_date,datetime
oltp,dbo,extranet_franchise_inventory_pricing_markup_audit_logs,change_date,datetime
oltp,dbo,extranet_vehicle_pricing_audit_logs,date_changed,datetime
oltp,dbo,extranet_vehicle_pricing_audit_logs_dev,date_changed,datetime
oltp,dbo,franchise,created_date,datetime
oltp,dbo,franchise,last_updated_date,datetime
oltp,dbo,franchise,status_reset_date,datetime
oltp,dbo,franchise_announcement,created_date,datetime
oltp,dbo,franchise_announcement,expiration_date,datetime
oltp,dbo,franchise_business_hour,created_date,datetime
oltp,dbo,franchise_business_hour,end_time,datetime
oltp,dbo,franchise_business_hour,last_updated_date,datetime
oltp,dbo,franchise_business_hour,start_time,datetime
oltp,dbo,franchise_campaign,created_date,datetime
oltp,dbo,franchise_campaign_action,alternate_from_date,datetime
oltp,dbo,franchise_campaign_action,alternate_to_date,datetime
oltp,dbo,franchise_campaign_action,created_date,datetime
oltp,dbo,franchise_campaign_email_template,created_date,datetime
oltp,dbo,franchise_campaign_email_template,last_updated_date,datetime
oltp,dbo,franchise_campaign_email_template_item,created_date,datetime
oltp,dbo,franchise_campaign_email_template_param,last_updated_date,datetime
oltp,dbo,franchise_consumer,created_date,datetime
oltp,dbo,franchise_consumer,last_contact_date,datetime
oltp,dbo,franchise_consumer,last_updated_date,datetime
oltp,dbo,franchise_consumer,pause_smart_follow_until_date,datetime
oltp,dbo,franchise_consumer_alias,last_updated_date,datetime
oltp,dbo,franchise_consumer_txn,created_date,datetime
oltp,dbo,franchise_consumer_txn,txn_date,datetime
oltp,dbo,franchise_consumer_vehicle,created_date,datetime
oltp,dbo,franchise_consumer_vehicle,last_updated_date,datetime
oltp,dbo,franchise_dmn_response_report,created_date,datetime
oltp,dbo,franchise_dmn_response_report,date_end,datetime
oltp,dbo,franchise_dmn_response_report,date_start,datetime
oltp,dbo,franchise_email_template_param,last_updated_date,datetime
oltp,dbo,franchise_excluded_lead_sources,date_created,datetime
oltp,dbo,franchise_excluded_lead_sources_deleted,date_deleted,datetime
oltp,dbo,franchise_excluded_lead_sources_papertrail,modification_date,datetime
oltp,dbo,franchise_image,created_date,datetime
oltp,dbo,franchise_inventory_pricing,created_date,datetime
oltp,dbo,franchise_inventory_pricing,last_updated_date,datetime
oltp,dbo,franchise_inventory_pricing,lease_offer_expiration_date,datetime
oltp,dbo,franchise_lead_provider,created_date,datetime
oltp,dbo,franchise_logon,last_updated_date,datetime
oltp,dbo,franchise_logon_group,last_updated_date,datetime
oltp,dbo,franchise_model_incentive_rollup,effective_end_date,datetime
oltp,dbo,franchise_model_incentive_rollup,effective_start_date,datetime
oltp,dbo,franchise_non_business_day,created_date,datetime
oltp,dbo,franchise_non_business_day,last_updated_date,datetime
oltp,dbo,franchise_parse_lead,last_updated_date,datetime
oltp,dbo,franchise_performance_report,last_updated,datetime
oltp,dbo,franchise_performance_report,report_date,datetime
oltp,dbo,franchise_pixel_tracking,created_date,datetime
oltp,dbo,franchise_pixel_tracking,last_updated_date,datetime
oltp,dbo,franchise_pl,created_date,datetime
oltp,dbo,franchise_rapid_contact,created_date,datetime
oltp,dbo,franchise_rapid_contact,last_updated_date,datetime
oltp,dbo,franchise_region,created_date,datetime
oltp,dbo,franchise_region,last_updated_date,datetime
oltp,dbo,franchise_rep,created_date,datetime
oltp,dbo,franchise_rep,last_updated_date,datetime
oltp,dbo,franchise_responselogix_region,last_updated_date,datetime
oltp,dbo,franchise_sample_data,created_date,datetime
oltp,dbo,franchise_sample_data,expiration_date,datetime
oltp,dbo,franchise_smart_facts,created_date,datetime
oltp,dbo,franchise_smart_facts,last_updated_date,datetime
oltp,dbo,franchise_smart_facts,report_date,datetime
oltp,dbo,franchise_smart_follow_v3_template_values,created,datetime
oltp,dbo,franchise_sms_template_param,last_updated_date,datetime
oltp,dbo,franchise_up_schedule,end_time,datetime
oltp,dbo,franchise_up_schedule,last_updated_date,datetime
oltp,dbo,franchise_up_schedule,start_time,datetime
oltp,dbo,franchise_vehicle,cash_back_effective_date,datetime
oltp,dbo,franchise_vehicle,cash_back_effective_date_override,datetime
oltp,dbo,franchise_vehicle,cash_back_expiration_date,datetime
oltp,dbo,franchise_vehicle,cash_back_expiration_date_override,datetime
oltp,dbo,franchise_vehicle,created_date,datetime
oltp,dbo,franchise_vehicle,incentive_effective_date,datetime
oltp,dbo,franchise_vehicle,incentive_effective_date_override,datetime
oltp,dbo,franchise_vehicle,incentive_expiration_date,datetime
oltp,dbo,franchise_vehicle,incentive_expiration_date_override,datetime
oltp,dbo,franchise_vehicle,last_selection_date,datetime
oltp,dbo,franchise_vehicle,last_updated_date,datetime
oltp,dbo,franchise_vehicle_config_client,last_updated_date,datetime
oltp,dbo,franchise_vehicle_default_pricing,created_date,datetime
oltp,dbo,franchise_vehicle_default_pricing,last_updated_date,datetime
oltp,dbo,franchise_vehicle_map,created_date,datetime
oltp,dbo,franchise_vehicle_map,manual_match_last_updated,datetime
oltp,dbo,franchise_vehicle_option,last_updated_date,datetime
oltp,dbo,franchise_vehicle_pricing_2,last_updated_date,datetime
oltp,dbo,franchise_vehicle_pricing_2,lease_offer_expiration_date,datetime
oltp,dbo,franchise_vehicle_quote,cash_back_effective_date,datetime
oltp,dbo,franchise_vehicle_quote,cash_back_effective_date_override,datetime
oltp,dbo,franchise_vehicle_quote,cash_back_expiration_date,datetime
oltp,dbo,franchise_vehicle_quote,cash_back_expiration_date_override,datetime
oltp,dbo,franchise_vehicle_quote,created_date,datetime
oltp,dbo,franchise_vehicle_quote,incentive_effective_date,datetime
oltp,dbo,franchise_vehicle_quote,incentive_effective_date_override,datetime
oltp,dbo,franchise_vehicle_quote,incentive_expiration_date,datetime
oltp,dbo,franchise_vehicle_quote,incentive_expiration_date_override,datetime
oltp,dbo,franchise_vehicle_quote,last_updated_date,datetime
oltp,dbo,franchise_vehicle_quote,lease_offer_expiration_date,datetime
oltp,dbo,franchise_vehicle_quote_option,created_date,datetime
oltp,dbo,franchise_vehicle_quote_option,last_updated_date,datetime
oltp,dbo,franchise_vehicle_test,cash_back_effective_date,datetime
oltp,dbo,franchise_vehicle_test,cash_back_effective_date_override,datetime
oltp,dbo,franchise_vehicle_test,cash_back_expiration_date,datetime
oltp,dbo,franchise_vehicle_test,cash_back_expiration_date_override,datetime
oltp,dbo,franchise_vehicle_test,created_date,datetime
oltp,dbo,franchise_vehicle_test,incentive_effective_date,datetime
oltp,dbo,franchise_vehicle_test,incentive_effective_date_override,datetime
oltp,dbo,franchise_vehicle_test,incentive_expiration_date,datetime
oltp,dbo,franchise_vehicle_test,incentive_expiration_date_override,datetime
oltp,dbo,franchise_vehicle_test,last_selection_date,datetime
oltp,dbo,franchise_vehicle_test,last_updated_date,datetime
oltp,dbo,homenet_sale,created_date,datetime
oltp,dbo,homenet_sale,last_updated_date,datetime
oltp,dbo,job_posting,release_date,datetime
oltp,dbo,lead,created_date,datetime
oltp,dbo,lead,last_contact_date,datetime
oltp,dbo,lead,lead_date,datetime
oltp,dbo,lead,next_contact_date,datetime
oltp,dbo,lead_history,created_date,datetime
oltp,dbo,lead_history,history_date,datetime
oltp,dbo,lead_provider,last_updated_date,datetime
oltp,dbo,lead_sms_history,created_date,datetime
oltp,dbo,lead_sms_history,history_date,datetime
oltp,dbo,lead_vehicle_option,created_date,datetime
oltp,dbo,logix_monitor,created_date,datetime
oltp,dbo,logix_monitor_alert_recipient,last_updated_date,datetime
oltp,dbo,logix_monitor_recipient,last_updated_date,datetime
oltp,dbo,logix_monitor_schedule,last_updated_date,datetime
oltp,dbo,logon,last_updated_date,datetime
oltp,dbo,logon_group,last_updated_date,datetime
oltp,dbo,mailbox,created_date,datetime
oltp,dbo,mailbox,email_received_date,datetime
oltp,dbo,make,created_date,datetime
oltp,dbo,master_email_template,last_updated_date,datetime
oltp,dbo,master_email_template_param,last_updated_date,datetime
oltp,dbo,matching_comment,last_updated_date,datetime
oltp,dbo,MessageQueue,CreatedDate,datetime
oltp,dbo,MessageQueueInUse,CreatedDate,datetime
oltp,dbo,model,created_date,datetime
oltp,dbo,ndr_log,email_received_date,datetime
oltp,dbo,new_lead_delivery,last_updated_date,datetime
oltp,dbo,news_coverage,last_updated_date,datetime
oltp,dbo,news_coverage,release_date,datetime
oltp,dbo,oem_vehicle_locator_build,last_detail_updated_date,datetime
oltp,dbo,oem_vehicle_locator_build,last_summary_updated_date,datetime
oltp,dbo,oem_vehicle_locator_build_responselogix_region,last_detail_updated_date,datetime
oltp,dbo,oem_vehicle_locator_build_responselogix_region,last_summary_updated_date,datetime
oltp,dbo,oem_vehicle_locator_build_responselogix_region,next_detail_processing_date,datetime
oltp,dbo,oem_vehicle_locator_search_key_1,last_updated_date,datetime
oltp,dbo,oem_vehicle_locator_search_key_1,next_processing_date,datetime
oltp,dbo,oem_vehicle_locator_search_key_subregion,last_processing_date,datetime
oltp,dbo,oem_vehicle_locator_search_key_subregion,last_updated_date,datetime
oltp,dbo,oem_vehicle_locator_search_key_subregion,next_processing_date,datetime
oltp,dbo,oem_vehicle_locator_subregion,last_processing_date,datetime
oltp,dbo,oem_vehicle_locator_subregion,last_updated_date,datetime
oltp,dbo,oem_vehicle_locator_subregion,next_processing_date,datetime
oltp,dbo,ou,created_date,datetime
oltp,dbo,ou_audit_trail,created_date,datetime
oltp,dbo,ou_vehicle_audit_trail,created_date,datetime
oltp,dbo,Packages,CancellationDate,datetime
oltp,dbo,Packages,StartDate,datetime
oltp,dbo,parse_consumer_response_item_expression,created_date,datetime
oltp,dbo,parse_crm_response_item_expression,created_date,datetime
oltp,dbo,parse_lead_item_expression,created_date,datetime
oltp,dbo,PaymentHistory,Created,datetime2
oltp,dbo,PaymentHistory,EventTime,datetime2
oltp,dbo,PaymentNotification,Created,datetime2
oltp,dbo,PaymentNotification,Processed,datetime2
oltp,dbo,pbs_leads,Created,datetime
oltp,dbo,pbs_leads,LeadDate,datetime
oltp,dbo,pm_procedure,last_updated_date,datetime
oltp,dbo,press_release,last_updated_date,datetime
oltp,dbo,press_release,release_date,datetime
oltp,dbo,process_log,created_date,datetime
oltp,dbo,process_log,retain_until_date,datetime
oltp,dbo,process_log_20260404T23,created_date,datetime
oltp,dbo,process_log_20260404T23,retain_until_date,datetime
oltp,dbo,process_log_20260411T23,created_date,datetime
oltp,dbo,process_log_20260411T23,retain_until_date,datetime
oltp,dbo,process_log_20260418T23,created_date,datetime
oltp,dbo,process_log_20260418T23,retain_until_date,datetime
oltp,dbo,process_log_20260425T23,created_date,datetime
oltp,dbo,process_log_20260425T23,retain_until_date,datetime
oltp,dbo,process_log_20260502T23,created_date,datetime
oltp,dbo,process_log_20260502T23,retain_until_date,datetime
oltp,dbo,process_log_20260509T23,created_date,datetime
oltp,dbo,process_log_20260509T23,retain_until_date,datetime
oltp,dbo,process_log_20260516T23,created_date,datetime
oltp,dbo,process_log_20260516T23,retain_until_date,datetime
oltp,dbo,process_log_20260523T23,created_date,datetime
oltp,dbo,process_log_20260523T23,retain_until_date,datetime
oltp,dbo,process_log_20260530T23,created_date,datetime
oltp,dbo,process_log_20260530T23,retain_until_date,datetime
oltp,dbo,process_log_20260606T23,created_date,datetime
oltp,dbo,process_log_20260606T23,retain_until_date,datetime
oltp,dbo,process_log_20260613T23,created_date,datetime
oltp,dbo,process_log_20260613T23,retain_until_date,datetime
oltp,dbo,ProcsInUse,CreatedDate,datetime
oltp,dbo,queue_stat,created_date,datetime
oltp,dbo,queue_stat,max_created_date,datetime
