database,schema,table,ts_column,row_count,total_mb,min_ts,max_ts,non_null_count,query_seconds
oltp,dbo,txn,created_date,345280665,11863.34375,2007-12-01 17:15:11.850000,2026-06-14 14:01:23.543000,345280896,21.22
oltp_Archive,dbo,lead_history,created_date,342284612,82802.015625,2012-01-01 00:01:10,2024-08-21 03:00:47.850000,342284612,12.57
oltp_Archive,dbo,franchise_consumer_txn,created_date,140827889,23813.328125,2014-06-01 00:00:04.837000,2021-12-31 23:58:26.027000,140827889,43.16
oltp_Archive,dbo,franchise_consumer_txn_old,created_date,69782504,14233.03125,2010-08-06 13:30:12.543000,2015-02-02 16:35:15.527000,69782504,26.74
oltp,dbo,lead_history,created_date,67049656,16755.726562,2024-08-21 07:38:00.800000,2026-06-14 14:03:12.867000,67050906,24.77
oltp_Archive,dbo,lead,created_date,59485573,64016.460937,2007-12-03 16:46:47.647000,2025-06-13 23:59:38.630000,59485573,2.25
oltp,dbo,franchise_consumer_txn,created_date,57318210,8198.65625,2022-01-01 00:00:07.663000,2026-06-14 14:03:26.227000,57318575,11.44
oltp,dbo,franchise_consumer,created_date,50884289,21461.28125,2008-06-24 16:27:26.883000,2026-06-14 14:03:46.983000,50884392,24.12
oltp,dbo,rl_lead_history_report_data,history_date,39895336,2058.414062,2023-12-06 21:15:41,2026-06-13 20:05:12.610000,39895336,1.05
oltp,dbo,franchise_consumer_alias,last_updated_date,33513387,6898.164062,2009-04-01 08:26:47.800000,2026-06-14 14:03:46.983000,33513454,2.35
oltp,dbo,franchise_consumer_vehicle,created_date,29243259,11995.59375,2009-04-01 09:32:23.740000,2026-06-14 14:03:58.303000,29243348,12.65
oltp_Archive,dbo,smart_quote,created_date,22133224,19860.023437,2009-05-14 12:42:08.003000,2021-12-31 23:52:06.477000,22133224,21.67
oltp,dbo,mailbox,created_date,19600853,11012.34375,2012-06-15 00:00:11.900000,2026-06-14 14:03:15.430000,19600919,0.98
oltp,dbo,customer_billing_group_invoice_detail,txn_date,11207194,3354.648437,2007-12-04 14:36:12,2015-05-31 19:18:49.613000,11207194,0.85
oltp,dbo,smart_quote,created_date,8480570,7468.53125,2022-01-01 00:59:04.237000,2026-06-14 14:03:57.223000,8480632,0.37
oltp,dbo,franchise_vehicle_pricing_2,last_updated_date,7926760,1562.71875,2008-07-24 14:34:12.427000,2026-06-13 03:01:29.220000,7926760,0.37
oltp,dbo,lead_sms_history,created_date,7288306,2985.40625,2023-05-09 10:23:50.460000,2026-06-14 14:03:55.443000,7288451,3.31
oltp,dbo,rl_performance_report_data,lead_date,4091872,652.640625,2025-06-14 03:02:58.973000,2026-06-13 20:02:26.873000,4091872,0.25
oltp,dbo,lead,created_date,3715445,5038.476562,2025-06-14 00:00:09.220000,2026-06-14 14:04:32.140000,3715581,0.25
oltp,dbo,vehicle_option,last_updated_date,3374626,585.054687,2009-03-17 07:53:52.210000,2026-06-12 16:21:22.973000,3374626,1.89
oltp,dbo,cdr,calldate,3040765,3402.234375,2010-01-01 03:26:31,2016-07-11 06:00:10,3040765,0.31
oltp,dbo,franchise_campaign_email_template_param,last_updated_date,2751909,469.78125,2010-10-12 18:48:57.537000,2026-06-12 11:39:11.033000,2751909,1.6
oltp,dbo,franchise_vehicle,created_date,2200459,577.40625,2022-02-18 03:00:47.873000,2026-06-13 03:01:29.220000,2200459,0.21
oltp,dbo,process_log_20260606T23,created_date,1815919,484.632812,2026-05-28 23:00:09.243000,2026-06-04 23:00:00.520000,1815919,0.64
oltp,dbo,process_log_20260530T23,created_date,1815153,481.679687,2026-05-20 19:13:52.233000,2026-05-28 23:00:00.560000,1815153,0.64
oltp,dbo,process_log_20260613T23,created_date,1807280,481.851562,2026-06-02 02:41:45.317000,2026-06-11 22:59:29.447000,1807280,0.65
oltp,dbo,process_log_20260502T23,created_date,1780669,496.65625,2026-04-23 23:00:13.727000,2026-04-30 23:00:00.567000,1780669,0.68
oltp,dbo,process_log_20260425T23,created_date,1765583,497.039062,2026-04-15 19:14:42.420000,2026-04-23 22:59:31.660000,1765583,0.67
oltp,dbo,process_log_20260516T23,created_date,1764716,478.289062,2026-05-05 19:49:17.887000,2026-05-14 22:59:39.537000,1764716,0.66
oltp,dbo,process_log_20260509T23,created_date,1711840,456.414062,2026-04-30 23:00:09.660000,2026-05-07 22:59:32.493000,1711840,0.6
oltp,dbo,process_log_20260418T23,created_date,1710778,481.726562,2026-04-08 09:26:26.823000,2026-04-16 23:00:00.530000,1710778,0.64
oltp,dbo,process_log_20260411T23,created_date,1699959,465.398437,2026-04-02 06:26:35.890000,2026-04-09 22:59:28.877000,1699959,1.65
oltp,dbo,process_log_20260404T23,created_date,1672445,462.695312,2026-03-24 06:47:38.923000,2026-04-02 23:00:00.407000,1672445,1.9
oltp,dbo,process_log_20260523T23,created_date,1656426,437.929687,2026-05-14 12:17:55.867000,2026-05-21 23:00:00.590000,1656426,0.59
oltp,dbo,reactivation,created_date,1420213,747.28125,2012-01-01 00:16:02.977000,2026-06-14 14:00:00.547000,1420214,0.92
oltp,dbo,customer_inventory_calculated,created_date,1415688,804.28125,2013-02-04 13:50:05.333000,2026-06-14 13:39:27.363000,1415688,0.79
oltp,dbo,franchise_vehicle_test,created_date,1172005,315.328125,2014-01-17 05:15:17.510000,2016-11-29 04:16:19.477000,1172005,1.0
oltp,dbo,franchise_smart_facts,created_date,1147405,178.210937,2010-04-26 15:27:37.340000,2026-06-07 19:00:07.507000,1147405,0.65
oltp,dbo,franchise_performance_report,last_updated,1089804,179.015625,2008-06-13 07:52:45.817000,2022-05-17 15:55:54.460000,1089804,0.35
