schema,table,row_count,total_mb
dbo,process_log_20260613T23,1807280,481.851562
dbo,process_log_20260606T23,1815919,484.632812
dbo,process_log_20260530T23,1815153,481.679687
dbo,process_log_20260523T23,1656426,437.929687
dbo,process_log_20260516T23,1764716,478.289062
dbo,process_log_20260509T23,1711840,456.414062
dbo,process_log_20260502T23,1780669,496.65625
dbo,process_log_20260425T23,1765583,497.039062
dbo,process_log_20260418T23,1710778,481.726562
dbo,process_log_20260411T23,1699959,465.398437
dbo,process_log_20260404T23,1672445,462.695312
dbo,process_log,658145,175.90625
