server,total,exceptions,first_seen,last_seen,days
RL-PROD-SQL01,14711597,311734,2026-03-26 23:01:00.617000,2026-06-14 14:13:00.870000,81
SANDBOXHOST-639,4948205,952,2026-03-26 23:00:23.990000,2026-06-14 14:13:28.793000,79
D16-GV0P6G4,183887,3970,2026-04-26 11:28:58.620000,2026-04-29 14:40:37.687000,4
D16-1W0P6G4,12468,64,2026-04-26 08:45:50.197000,2026-04-26 18:48:10.570000,1
,1082,385,2026-03-27 05:51:01.190000,2026-06-14 13:14:00.533000,80
any,478,0,2026-03-26 23:01:00.710000,2026-06-13 23:01:00.967000,80
DW0SDWK000431,367,273,2026-04-26 12:32:43.087000,2026-04-26 12:58:59.117000,1
dw1sdwk0011YC,242,242,2026-04-04 09:41:00.920000,2026-05-06 02:06:41.170000,28
dw0sdwk000ZBW,219,219,2026-04-06 01:41:25.603000,2026-05-05 19:52:00.560000,27
dw0sdwk000ZT3,100,100,2026-05-17 20:26:00.433000,2026-06-04 23:35:00.703000,16
dw1sdwk0012OA,79,79,2026-05-16 20:46:00.970000,2026-06-03 15:56:00.960000,14
DW1SDWK0012Z7,57,57,2026-06-05 07:21:02.073000,2026-06-14 07:42:02.783000,10
dw1sdwk0012OR,56,56,2026-05-06 02:06:01.267000,2026-05-17 06:52:01.537000,10
dw0sdwk000ZRG,54,54,2026-05-06 07:41:02.323000,2026-05-16 13:42:00.257000,11
DW1SDWK0012O0,46,46,2026-06-05 07:33:00.747000,2026-06-14 07:22:00.543000,9
dw1sdwk0011Z8,34,34,2026-03-24 07:01:47.863000,2026-04-06 19:03:01.760000,11
dw1sdwk0011WY,22,22,2026-03-24 06:47:38.923000,2026-04-02 23:05:58.480000,7
dw0sdwk000FG9,6,6,2026-05-08 08:45:01.167000,2026-05-17 18:52:01.080000,2
dw0sdwk000FEM,5,5,2026-06-02 22:20:00.630000,2026-06-05 20:48:00.553000,2
