component,total,exceptions
RLScriptService,5110538,5259
lead_create_process,4510943,113242
lead_consolidate_process_2,3393950,0
execute_every_1_min,2918329,0
franchise_rep_update_pending_process_2,1214609,1727
initiate_campaign_status_process,1005846,9
smart_quote_lead_status_upsert,550800,0
SQL execute_every_10_mins,505776,0
franchise_consumer_franchise_rep_upsert,299421,64251
franchise_rep_upsert,128752,128752
execute_every_15_mins_process,76425,0
SQL execute_every_10_mins_Receivers,68791,0
FranchiseVehicleQuoteBlobExport,34389,0
execute_every_60_mins_process,12171,80
franchise_consumer_subscription_upsert,10339,1
execute_every_60_mins_quick_process,9110,80
franchise_consumer_subscription_queue,1372,1372
execute_at_0300,1143,80
execute_every_60_mins_sa_process,953,0
execute_at_2300,657,0
InitiateCampaign,657,10
"InitiateCampaign, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null",511,511
customer_contact_upsert,475,475
database_maintenance_process,463,153
process_log_upsert,396,396
QuoteVehicleSelection,368,368
SmartQuote,260,260
ndr_log_process,238,0
contact_upsert,200,200
franchise_vehicle_refresh,160,160
xp_cmdshell,149,149
franchise_consumer_alias_upsert,128,128
franchise_consumer_alias_process,128,128
"PrepareLead, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null",128,128
customer_inventory_refresh,80,80
customer_inventory_source_upsert,73,73
exception_log_sender,65,65
PrepareLead,50,0
app_server_config_sender,22,22
franchise_consumer_unsubscription_process,21,21
franchise_upsert,16,16
logon_password_upsert,13,13
franchise_campaign_email_template_change_process,11,11
LeadDispositionReporter,10,10
ParseHTTP,9,9
franchise_consumer_crm_reference_upsert,8,8
franchise_consumer_smart_follow_txn_upsert,7,7
reactivate_consumer_process,7,7
lead_match_process,4,4
file_contents,4,4
