component,subject,total,exceptions,days_active,first_seen,last_seen
lead_create_process,lead_create log,4397701,0,81,2026-03-26 23:01:00.757000,2026-06-14 14:13:00.793000
RLScriptService,ExportConfigBlob.ps1,3059268,1,81,2026-03-26 23:00:38.180000,2026-06-14 14:10:56.300000
lead_consolidate_process_2,Path,2703113,0,81,2026-03-26 23:01:00.757000,2026-06-14 14:13:00.793000
initiate_campaign_status_process,initiate_campaign_status_process Completed,1005837,0,81,2026-03-26 23:01:00.837000,2026-06-14 14:13:00.810000
lead_consolidate_process_2,txn_paload value,678836,0,81,2026-03-26 23:01:00.757000,2026-06-14 14:13:00.793000
smart_quote_lead_status_upsert,Status Updated,550800,0,81,2026-03-26 23:01:00.633000,2026-06-14 14:13:00.870000
franchise_rep_update_pending_process_2,sqnp2 test,550796,0,81,2026-03-26 23:01:00.850000,2026-06-14 14:13:00.810000
franchise_rep_update_pending_process_2,smart_quote_new_process_2 called,288769,0,81,2026-03-26 23:01:01.977000,2026-06-14 14:11:01.863000
franchise_rep_update_pending_process_2,smart_quote_used_process_2 called,262027,0,81,2026-03-26 23:01:00.850000,2026-06-14 14:13:00.810000
franchise_consumer_franchise_rep_upsert,CRM AR/Generic Updating Contact,235170,0,81,2026-03-26 23:01:00.900000,2026-06-14 14:11:01.780000
RLScriptService,EnqueueMessageToAzureQueue.ps1,234626,610,81,2026-03-26 23:01:13.367000,2026-06-14 14:11:21.753000
execute_every_1_min,Process Azure LeadHistory Queue,229344,0,81,2026-03-26 23:01:00.710000,2026-06-14 14:13:00.857000
RLScriptService,LeadHistoryCreateMsgFromAzure.ps1,126140,35,81,2026-03-26 23:01:13.383000,2026-06-14 14:13:28.793000
RLScriptService,FranchiseVehiclePricingUpdateMsgFromAzure.ps1,114674,32,81,2026-03-26 23:01:09.150000,2026-06-14 14:13:17.747000
RLScriptService,FranchiseVehicleQuoteUpdateMsgFromAzure.ps1,114674,30,81,2026-03-26 23:01:00.663000,2026-06-14 14:13:20.887000
RLScriptService,FranchiseInventoryPricingUpdateMsgFromAzure.ps1,114673,32,81,2026-03-26 23:00:26.633000,2026-06-14 14:13:16.337000
RLScriptService,CustomerRapidTouchUpdateMsgFromAzure.ps1,114673,26,81,2026-03-26 23:00:37.837000,2026-06-14 14:13:16.793000
RLScriptService,SendEmailsFromQueue.ps1,114673,37,81,2026-03-26 23:00:39.663000,2026-06-14 14:12:31.347000
RLScriptService,FranchisePixelTrackingUpdateMsgFromAzure.ps1,114673,31,81,2026-03-26 23:01:13.367000,2026-06-14 14:13:28.793000
RLScriptService,CRMAutoResponseMsgFromAzure.ps1,114673,34,81,2026-03-26 23:00:24.913000,2026-06-14 14:13:10.980000
execute_every_1_min,Invoke lead_consolidate_receiver,114672,0,81,2026-03-26 23:01:00.727000,2026-06-14 14:13:00.870000
execute_every_1_min,Invoke mailbox_create,114672,0,81,2026-03-26 23:01:00.727000,2026-06-14 14:13:00.870000
execute_every_1_min,Invoke logix_monitor_job_process,114672,0,81,2026-03-26 23:01:00.710000,2026-06-14 14:13:00.857000
execute_every_1_min,Process FranchisePixelTracking Updates,114672,0,81,2026-03-26 23:01:00.697000,2026-06-14 14:13:00.857000
execute_every_1_min,Process NDR Log Queue,114672,0,81,2026-03-26 23:01:00.680000,2026-06-14 14:13:00.840000
execute_every_1_min,Invoke create_lead_history_receiver,114672,0,81,2026-03-26 23:01:00.710000,2026-06-14 14:13:00.857000
execute_every_1_min,Process Azure Inventory Updates,114672,0,81,2026-03-26 23:01:00.697000,2026-06-14 14:13:00.840000
execute_every_1_min,Process crmautoresponsequeue,114672,0,81,2026-03-26 23:01:00.680000,2026-06-14 14:13:00.840000
execute_every_1_min,Process SmartQuoteNewFranchise Updates,114672,0,81,2026-03-26 23:01:00.697000,2026-06-14 14:13:00.857000
execute_every_1_min,Invoke initiate_campaign_holding_receiver,114672,0,81,2026-03-26 23:01:00.710000,2026-06-14 14:13:00.857000
execute_every_1_min,Process Azure Franchise Region Updates,114672,0,81,2026-03-26 23:01:00.697000,2026-06-14 14:13:00.840000
RLScriptService,SmartQuoteNewFranchiseUpdateMsgFromAzure.ps1,114672,25,81,2026-03-26 23:00:37.837000,2026-06-14 14:13:17.730000
