date,total,exceptions
2026-03-24,3,3
2026-03-26,6371,11
2026-03-27,249894,5219
2026-03-28,237231,4499
2026-03-29,217633,3740
2026-03-30,251058,4504
2026-03-31,242749,4546
2026-04-01,239139,4431
2026-04-02,234276,4186
2026-04-03,239711,3688
2026-04-04,228518,2880
2026-04-05,208062,1514
2026-04-06,259496,4504
2026-04-07,250452,4280
2026-04-08,244253,3992
2026-04-09,269888,4051
2026-04-10,241916,4474
2026-04-11,231664,3928
2026-04-12,202779,2473
2026-04-13,265146,4629
2026-04-14,255097,5003
2026-04-15,270474,4902
2026-04-16,243485,4858
2026-04-17,249015,4259
2026-04-18,238792,2724
2026-04-19,220387,3688
2026-04-20,256067,6894
2026-04-21,262275,5286
2026-04-22,270953,4803
2026-04-23,267922,4401
2026-04-24,267170,5033
2026-04-25,241465,4263
2026-04-26,234625,6187
2026-04-27,267800,7780
2026-04-28,258163,5285
2026-04-29,261373,4420
2026-04-30,249617,5035
2026-05-01,251901,5034
2026-05-02,238915,3950
2026-05-03,225362,2866
2026-05-04,253357,4706
2026-05-05,249628,4662
2026-05-06,281745,4781
2026-05-07,210963,3894
2026-05-08,288742,5001
2026-05-09,250347,3997
2026-05-10,233819,3929
2026-05-11,275168,5725
2026-05-12,252291,5471
2026-05-13,228791,4322
2026-05-14,235177,1589
2026-05-15,246191,1078
2026-05-16,242643,1421
2026-05-17,204509,1131
2026-05-18,237687,881
2026-05-19,241679,1675
2026-05-20,244142,1817
2026-05-21,239468,1357
2026-05-22,252482,2016
2026-05-23,246676,3999
2026-05-24,225475,3649
2026-05-25,256582,2689
2026-05-26,264880,2048
2026-05-27,283969,4346
2026-05-28,285807,4935
2026-05-29,268040,3921
2026-05-30,246961,3719
2026-05-31,249418,2714
2026-06-01,269862,4596
2026-06-02,263416,4807
2026-06-03,264398,4429
2026-06-04,253810,4775
2026-06-05,264695,4499
2026-06-06,233065,3711
2026-06-07,263443,2564
2026-06-08,270051,5780
2026-06-09,267823,4600
2026-06-10,257221,3374
2026-06-11,250414,4447
2026-06-12,252577,4468
2026-06-13,249909,3977
2026-06-14,150586,2575
