minute_bin,events_in_minute
2026-04-22 11:58:00,4790
2026-04-22 11:57:00,4737
2026-04-15 03:11:00,3087
2026-05-26 10:58:00,3035
2026-05-08 03:11:00,3012
2026-05-27 03:11:00,2717
2026-05-08 03:12:00,2468
2026-04-09 14:20:00,2146
2026-03-27 06:16:00,2134
2026-04-22 07:56:00,2104
2026-05-11 07:01:00,2063
2026-06-06 15:36:00,2052
2026-04-09 14:19:00,2051
2026-05-04 07:01:00,2048
2026-06-08 07:01:00,2047
2026-05-11 07:34:00,2040
2026-04-09 14:14:00,2039
2026-05-28 14:31:00,2036
2026-05-16 07:31:00,2030
2026-05-15 15:31:00,2030
