subject,n,sum_ms,min_ms,max_ms,avg_ms,stddev_ms
ExportConfigBlob.ps1,3059373,920631612,46,226378,300,1701.7913910151813
EnqueueMessageToAzureQueue.ps1,234035,4738342582,4,4526803,20246,25776.9587327217
LeadHistoryCreateMsgFromAzure.ps1,126114,2363000638,2,4520150,18737,21840.490438370747
CustomerRapidTouchUpdateMsgFromAzure.ps1,114655,2381845728,2,660580,20774,17306.79786094488
SmartQuoteNewFranchiseUpdateMsgFromAzure.ps1,114655,2348869397,2,522864,20486,17462.412430157656
FranchiseVehicleQuoteUpdateMsgFromAzure.ps1,114652,1967302580,2,4520167,17158,21680.918899481017
FranchiseVehiclePricingUpdateMsgFromAzure.ps1,114650,2165358718,2,3028949,18886,19927.24660322962
SmartQuoteStatus.ps1,114650,4537784003,2,3022797,39579,36379.53017566267
FranchisePixelTrackingUpdateMsgFromAzure.ps1,114650,2252472325,2,538354,19646,17319.92359886908
FranchiseConsumerMgmtUpdateMsgFromAzure.ps1,114650,2211310419,3,2221693,19287,17578.96806300872
FranchiseRegionUpdateMsgFromAzure.ps1,114650,2465521434,2,4522529,21504,22240.617101154872
FranchiseInventoryPricingUpdateMsgFromAzure.ps1,114649,2534983817,2,2221756,22110,18420.50103574838
CRMAutoResponseMsgFromAzure.ps1,114647,2451373785,2,2221812,21381,18038.283366128522
NDRLogMsgFromAzure.ps1,114646,2396529043,2,2221837,20903,17756.170177539934
SendEmailsFromQueue.ps1,114644,1769696508,2,4519721,15436,20120.097843166168
MailboxMsgFromAzure.ps1,114641,2558502138,2,969373,22317,16838.607299174026
FranchiseVehicleQuoteRebuildFromAzure.ps1,22932,450649528,2,484797,19651,16702.712881302083
SmartFactsReportStatusUpdateMsgFromAzure.ps1,22931,433110704,2,4522209,18887,34447.96122266923
FranchiseVehicleExport.ps1,12076,1528514989,10671,910988,126574,117727.0642914632
CustomerInventorySourceUpdateFromAzure.ps1,11466,251370634,3,423236,21923,19056.997352502545
ReactivationMsgFromAzure.ps1,11466,312268956,2,333865,27234,17189.865503777717
FranchiseVehicleConfigClientUpdateMsgFromAzure.ps1,11466,306745275,3,513028,26752,17821.657694133264
SettingUpdateFromAzure.ps1,11465,249517266,5,419983,21763,19128.197027950057
RetryTxnAuto.ps1,11465,1395972036,4,5105002,121759,108410.35765868342
SpamComplaintMsgFromAzure.ps1,11465,280642699,3,323035,24478,15081.434163887425
FranchiseConsumerTxnCreateFromAzure.ps1,11465,296836112,2,339327,25890,16675.245540036267
CustomerInventoryCalculatedUpdateFromAzure.ps1,11465,1432121764,3,4146953,124912,225726.17307349583
FranchiseVehicleQuoteBlobExport.ps1,11465,309877003,2,4522448,27028,53257.311386356545
UnsubscriptionEmailMsgFromAzure.ps1,11465,275733719,3,326207,24050,14805.497868629107
FranchiseConsumerExport.ps1,11464,558242641,3,5347373,48695,60624.31984054078
FranchiseConsumerRepReassign.ps1,7642,166938665,3,546423,21844,21726.770201072944
AuthenticomImport.ps1,1911,49020841,5135,523272,25651,27286.601206779334
SmartFollowSummaryReport.ps1,499,5534003,4051,522056,11090,23676.12318526134
SqlAzureExecute.ps1,480,11936826,2788,266437,24868,24467.283909242138
SMTPDomainFunctions.ps1,241,2299886,2450,48287,9543,7915.960012532954
FranchiseVehicleQuoteRebuild.ps1,160,16732425,8107,741584,104577,124342.51992842808
AzureFunctions.ps1,80,2631556,1971,132714,32894,25066.90373698941
CloudExportManage.ps1,80,2273716,3596,134162,28421,21329.57714328609
ToyotaSETImport.ps1,79,4503543,6893,397123,57006,71402.1041154389
HyundaiGenesisRegionalInventoryUpload.ps1,79,2876723,2126,178833,36414,31267.67346583241
KiaImport.ps1,79,3527282,6885,304066,44649,49353.741170830064
HyundaiOptionDescriptionImport.ps1,79,2907007,5383,189940,36797,32001.459640086305
CustomerInventoryUpload.ps1,69,820774,5093,63533,11895,12195.253560642133
SmartFactsSummaryReport.ps1,22,1348661,33520,101502,61302,18828.045663778164
SmartFollowReactivationsExport.ps1,11,658946,25461,163470,59904,43128.22622092909
QuoteOpenNotificationSummaryReport.ps1,2,38992,19075,19917,19496,595.383909759073
ReprocessTxnAlert.ps1,2,2242296,1119712,1122584,1121148,2030.8106755677645
