component,subject,total,in_window,negative_count,outlier_count_gt30d,p50_sec,p95_sec,p99_sec
lead_create_process,lead_create log,4400471,4398780,0,1691,34,185339,477441
lead_consolidate_process_2,Path,2704755,2703071,0,1684,38,276277,517128
initiate_campaign_status_process,initiate_campaign_status_process Completed,1006463,1006041,0,422,38,198298,483940
lead_consolidate_process_2,txn_paload value,679247,678826,0,421,38,275333,516775
smart_quote_lead_status_upsert,Status Updated,551156,550827,0,329,229,327689,535063
franchise_rep_update_pending_process_2,sqnp2 test,551144,550815,0,329,50,321024,532869
franchise_rep_update_pending_process_2,smart_quote_new_process_2 called,288961,288750,0,211,50,324053,533897
franchise_rep_update_pending_process_2,smart_quote_used_process_2 called,262183,262065,0,118,49,317613,531703
franchise_rep_update_pending_process_2,smart_quote_process not called,111366,111280,0,86,42,1375,256894
lead_create_process,"lead_upsert, Line: 169",13837,13786,51,0,899,3267,17374
franchise_consumer_franchise_rep_upsert,"franchise_consumer_franchise_rep_upsert, Line: 228",13778,13778,0,0,900,3268,17571
lead_consolidate_process_2,lead_consolidate_process log,12003,12003,0,0,37,87,258
lead_create_process,"lead_create_process, Line: 105",4008,4004,4,0,907,3227,11617
franchise_rep_update_pending_process_2,"franchise_rep_update_pending_process_2, Line: 246",1539,1518,0,21,223253,547432,592864
InitiateCampaign,IC: Prospect ID Update Log,647,647,0,0,37,207,287
"InitiateCampaign, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null",GetInitiateCampaignSupplementReaderData Failure,510,510,0,0,886,3179,8864
QuoteVehicleSelection,ApplyDealerInventoryPricingUpdates Failure,367,367,0,0,34,399292,556605
SmartQuote,"Value cannot be null.
Parameter name: input",226,226,0,0,1221,476224,576569
franchise_rep_update_pending_process_2,"franchise_consumer_franchise_rep_upsert, Line: 228",187,187,0,0,433,829,2337
franchise_consumer_alias_process,"franchise_consumer_alias_upsert, Line: 90",125,59,66,0,33,105,941
franchise_consumer_alias_upsert,"franchise_consumer_alias_upsert, Line: 64",65,1,64,0,1039,1703,1780
exception_log_sender,"exception_log_sender, Line: 0",61,10,51,0,34,134,255
franchise_consumer_alias_upsert,"franchise_consumer_alias_upsert, Line: 48",60,58,2,0,33,58,188
PrepareLead,BuildADFOptions Log,50,50,0,0,42,329244,535541
SmartQuote,Thread was being aborted.,17,17,0,0,35272,399970,556794
InitiateCampaign,UpdateLeadStatus Failure,9,9,0,0,40,145,259
lead_create_process,"franchise_consumer_crm_reference_upsert, Line: 30",8,1,7,0,17,28,29
reactivate_consumer_process,"app_server_config_sender, Line: 0",7,5,0,2,437282,2160887,2499392
initiate_campaign_status_process,"franchise_consumer_smart_follow_txn_upsert, Line: 26",7,7,0,0,38,170,268
franchise_consumer_smart_follow_txn_upsert,"franchise_consumer_smart_follow_txn_upsert, Line: 11",7,7,0,0,38,170,268
lead_match_process,"franchise_consumer_vehicle_upsert, Line: 65",4,4,0,0,47,217,281
SmartQuote,"settingsjson cannot be null or empty
Parameter name: settingsjson",4,4,0,0,299,1612,1760
SmartQuote,Thread was being aborted. Blob exception for http://productionstoragerl.blob.core.windows.net/temp-2,3,3,0,0,22537,75535,84108
initiate_campaign_status_process,"lead_history_upsert, Line: 34",2,2,0,0,42,57,59
SmartQuote,Thread was being aborted. Blob exception for http://storage.responselogix.com/txn-20260607/quotevehi,2,2,0,0,35272,78996,84865
ParseHTTP,DeleteFromQueue Failure,2,2,0,0,134,276,295
SmartQuote,Thread was being aborted. Blob exception for log-20260417/0021005397761/log/smartquote/AI+Text+Reque,1,1,0,0,134,276,295
SmartQuote,Thread was being aborted. Blob exception for queuelog-20260514/smartquotequeue/1336171689504.7542ed4,1,1,0,0,35272,78996,84865
ParseHTTP,Reprocess Failure,1,1,0,0,134,276,295
SmartQuote,Thread was being aborted. Blob exception for queuelog-20260417/smartquotequeue/0021010095652.ae6343f,1,1,0,0,35272,78996,84865
"InitiateCampaign, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null",GetFranchiseRepUpdatePendingReaderData Failure,1,1,0,0,424,579,595
SmartQuote,Thread was being aborted. Blob exception for http://storage.responselogix.com/txn-20260416/quotevehi,1,1,0,0,35272,78996,84865
InitiateCampaign,SendLeadToDealer Failure,1,1,0,0,134,276,295
franchise_rep_update_pending_process_2,"franchise_rep_update_pending_process_2, Line: 254",1,1,0,0,42,57,59
SmartQuote,Thread was being aborted. Blob exception for log-20260506/0206404726998/log/smartquote/LeadBlobBefor,1,1,0,0,134,276,295
SmartQuote,Thread was being aborted. Blob exception for queuelog-20260514/smartquotequeue/1336174494005.2f0f74f,1,1,0,0,35272,78996,84865
ParseHTTP,ProcessCloudLeads Failure,1,1,0,0,134,276,295
QuoteVehicleSelection,GetICProcessingAction Failure,1,1,0,0,42,57,59
SmartQuote,Thread was being aborted. Blob exception for http://storage.responselogix.com/txn-20260415/quotevehi,1,1,0,0,228592,548727,593144
